SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
6244,JHUNJHUNU,KHETRI,MANOTA KALAN,General (Woman),LALITA DEVI,OBC (Woman)
6245,JHUNJHUNU,KHETRI,MEHARA JATOOWAS,SC,NAGARMAL,SC
6246,JHUNJHUNU,KHETRI,NALPUR,OBC (Woman),KUMARI BALKESH,OBC (Woman)
6247,JHUNJHUNU,KHETRI,NANGALIYA GUJARWAS,General (Woman),SUNIT A,OBC (Woman)
6248,JHUNJHUNU,KHETRI,NANGLI SALEDISIGNH,General (Woman),DEEPIKA KANWAR,General (Woman)
6249,JHUNJHUNU,KHETRI,NANOOWALI BAORI,General (Woman),SUNITA SAINI,OBC (Woman)
6250,JHUNJHUNU,KHETRI,NORANGPURA,General,T ARACHAND,OBC
6251,JHUNJHUNU,KHETRI,P APURANA,SC (Woman),NEETU JOLWAL,SC (Woman)
6252,JHUNJHUNU,KHETRI,RAJOT A,SC,MATU RAM,SC
6253,JHUNJHUNU,KHETRI,RASOOLPUR,OBC,CHHOTU RAM,OBC
6254,JHUNJHUNU,KHETRI,RAWAN,SC (Woman),REKHA,SC (Woman)
6255,JHUNJHUNU,KHETRI,SEPHARA GUNWAR,General (Woman),URMILA KANWAR,General (Woman)
6256,JHUNJHUNU,KHETRI,SHIML A,General,DHARMENDRA,OBC
6257,JHUNJHUNU,KHETRI,SIHOR,General (Woman),VIMALA,OBC (Woman)
6258,JHUNJHUNU,KHETRI,TATEEJA,General,HUKMI CHAND,SC
6259,JHUNJHUNU,KHETRI,THATHWARI,General (Woman),POOJA CHAUDHARY,OBC (Woman)
6260,JHUNJHUNU,KHETRI,TIBA,General (Woman),KIRAN DEVI,General (Woman)
6261,JHUNJHUNU,KHETRI,TYONDA,General,ALBAD SINGH,General
6262,JHUNJHUNU,KHETRI,BESARDA,SC,OMPRAKASH,SC
6263,JHUNJHUNU,KHETRI,RAMKUMARPURA,General (Woman),JAIPU KANWAR,General (Woman)
6264,JHUNJHUNU,KHETRI,SANJAY NAGAR,General (Woman),SUMAN,OBC (Woman)
6265,JHUNJHUNU,NAWALGARH,BARWASI,OBC,SURESH KUMAR,OBC
6266,JHUNJHUNU,NAWALGARH,BASAWA,SC,MANESH,SC
6267,JHUNJHUNU,NAWALGARH,BAY,OBC (Woman),TARA DEVI,OBC (Woman)
6268,JHUNJHUNU,NAWALGARH,BIROL,General,GHASIRAM,OBC
6269,JHUNJHUNU,NAWALGARH,BUGALA,General,TULSIRAM,OBC
6270,JHUNJHUNU,NAWALGARH,CHELASI,General (Woman),NAVITA,OBC (Woman)
6271,JHUNJHUNU,NAWALGARH,CHIRANA,General (Woman),PRIYANKA KUMARI,OBC (Woman)
6272,JHUNJHUNU,NAWALGARH,DEOGAON (NOONA),General,SAGARMAL,OBC
6273,JHUNJHUNU,NAWALGARH,DHANIA NAWALGARH,General (Woman),PINKI,OBC (Woman)
6274,JHUNJHUNU,NAWALGARH,DHIGAL,General (Woman),SHUSHIL A,OBC (Woman)
6275,JHUNJHUNU,NAWALGARH,DOOMRA,General (Woman),BULKESH DEVI,OBC (Woman)
6276,JHUNJHUNU,NAWALGARH,DUNDLOD,General,RADHESHYAM,OBC
6277,JHUNJHUNU,NAWALGARH,GHORIBARA KHURD,General (Woman),ANITA KANWAR,General (Woman)
6278,JHUNJHUNU,NAWALGARH,GOTHRA,General,SHRAWAN SINGH,General
6279,JHUNJHUNU,NAWALGARH,JAKHAL,General (Woman),NIRMLA KANWAR,General (Woman)
6280,JHUNJHUNU,NAWALGARH,JEJUSAR,General,DINESH KUMAR,OBC
6281,JHUNJHUNU,NAWALGARH,JHAJHAR,OBC (Woman),SUMAN SAINI,OBC (Woman)
6282,JHUNJHUNU,NAWALGARH,KAIRU,OBC (Woman),MANJU DEVI,OBC (Woman)
6283,JHUNJHUNU,NAWALGARH,KARI,General,DHARMVEER SINGH,OBC
6284,JHUNJHUNU,NAWALGARH,KASERU,General (Woman),ANIT A,OBC (Woman)
6285,JHUNJHUNU,NAWALGARH,KHIROR,General (Woman),SNEH KANWAR,General (Woman)
6286,JHUNJHUNU,NAWALGARH,KOLSIY A,General (Woman),BIMLA DEVI,OBC (Woman)
6287,JHUNJHUNU,NAWALGARH,KUMAWAS,General,BAJRANG SINGH,OBC
6288,JHUNJHUNU,NAWALGARH,LOHARGAL,OBC,GHASILAL SWAMI,OBC
6289,JHUNJHUNU,NAWALGARH,MANDASI,General (Woman),SUMAN,OBC (Woman)
6290,JHUNJHUNU,NAWALGARH,MOHANBARI,OBC (Woman),HARSH KANWAR,OBC (Woman)
6291,JHUNJHUNU,NAWALGARH,NAWALRI,General,JAGDISH PRASAD,OBC
6292,JHUNJHUNU,NAWALGARH,NIW AI,SC,ROHITASH KUMAR,SC
6293,JHUNJHUNU,NAWALGARH,P ABANA,OBC,CHUNNILAL,OBC
6294,JHUNJHUNU,NAWALGARH,P ARASRAMPURA,SC,KISHANLAL,SC
6295,JHUNJHUNU,NAWALGARH,RANASAR,General,VIDHYADHAR,OBC
6296,JHUNJHUNU,NAWALGARH,SOTW ARA,General,RAJENDRA SINGH,OBC
6297,JHUNJHUNU,NAWALGARH,TODPURA,ST,PANKAJ KUMAR MEENA,ST
6298,JHUNJHUNU,NAWALGARH,TOGRA KALAN,General,SANJEEV KUMAR,OBC
6299,JHUNJHUNU,NAWALGARH,TONK CHHILARI,SC (Woman),ANJU KUMARI,SC (Woman)
6300,JHUNJHUNU,NAWALGARH,DHEWA KI DHANI,SC (Woman),RAJESH,SC (Woman)
6301,JHUNJHUNU,NAWALGARH,PUJARI KI DHANI,OBC (Woman),SHUSHILA DEVI,OBC (Woman)
6302,JHUNJHUNU,NAWALGARH,DEVIPURA,SC (Woman),MANISHA DEVI,SC (Woman)
6303,JHUNJHUNU,NAWALGARH,BAGONO KI DHANI,OBC,BHUDARMAL,OBC
6304,JHUNJHUNU,NAWALGARH,DHAKA KI DHANI,General (Woman),SUMAN SAINI,OBC (Woman)
6305,JHUNJHUNU,SURAJGARH,ADOOKA,General,MOHAN LAL,General
6306,JHUNJHUNU,SURAJGARH,AGWANA KHURD,SC (Woman),PUSHPA DEVI,SC (Woman)
6307,JHUNJHUNU,SURAJGARH,BALODA,General (Woman),VINOD KUMARI,OBC (Woman)
6308,JHUNJHUNU,SURAJGARH,BANGOTHRI KALAN,General,MONU KANWAR,General (Woman)
6309,JHUNJHUNU,SURAJGARH,BARSARI KA BAS,OBC,SUSHIL KUMAR,OBC
6310,JHUNJHUNU,SURAJGARH,BERI,General (Woman),KUNTA DEVI,General (Woman)
6311,JHUNJHUNU,SURAJGARH,BERLA,General,VEER SINGH,OBC
6312,JHUNJHUNU,SURAJGARH,BHAOTHARI,General (Woman),KIROST A,OBC (Woman)
6313,JHUNJHUNU,SURAJGARH,BHGINA,General,RAJKUMARI,OBC (Woman)
6314,JHUNJHUNU,SURAJGARH,DEOROAD,General,KULDEEP,OBC
6315,JHUNJHUNU,SURAJGARH,DHEEGARIYA,SC (Woman),KAVITA,SC (Woman)
6316,JHUNJHUNU,SURAJGARH,DOODW A,OBC (Woman),MANJUBALA,OBC (Woman)
6317,JHUNJHUNU,SURAJGARH,DULANIYA,General,SULTAN SINGH,OBC
6318,JHUNJHUNU,SURAJGARH,FARAT,General (Woman),LEELA,OBC (Woman)
6319,JHUNJHUNU,SURAJGARH,GHADAWA,General,BRAJESH MANN,OBC
6320,JHUNJHUNU,SURAJGARH,GHUMANSAR KALAN,OBC,DHARMPAL SINGH DARA,OBC
6321,JHUNJHUNU,SURAJGARH,HAMEENPUR,General (Woman),SUMITRA,OBC (Woman)
6322,JHUNJHUNU,SURAJGARH,JAKHOD,SC,VIKRAM KUMAR,SC
6323,JHUNJHUNU,SURAJGARH,JEENI,General (Woman),ANNU,OBC (Woman)
6324,JHUNJHUNU,SURAJGARH,JHERLI,General (Woman),PINKESH DEVI,OBC (Woman)
6325,JHUNJHUNU,SURAJGARH,KAJRA,General,RAJENDRA KUMAR,General
6326,JHUNJHUNU,SURAJGARH,KAKORA,General (Woman),MAMTA,OBC (Woman)
6327,JHUNJHUNU,SURAJGARH,KHERL A,SC,NARENDRA KUMAR,SC
6328,JHUNJHUNU,SURAJGARH,KHUDANIYA,SC (Woman),NEELAM,SC (Woman)
6329,JHUNJHUNU,SURAJGARH,KIRW ANA,OBC,GORAKH RAM,OBC
6330,JHUNJHUNU,SURAJGARH,KULOTH KALAN,General (Woman),SUSHIL A,OBC (Woman)
6331,JHUNJHUNU,SURAJGARH,LAKHOO,OBC (Woman),NEETU,OBC (Woman)
6332,JHUNJHUNU,SURAJGARH,LEEKHW A,SC,PAWAN,SC
6333,JHUNJHUNU,SURAJGARH,LOTIYA,General (Woman),ANIT A,OBC (Woman)
6334,JHUNJHUNU,SURAJGARH,MAHPALWAS,General,RANVEER SINGH,OBC
6335,JHUNJHUNU,SURAJGARH,MORWA,General,JITENDRA SINGH,General
6336,JHUNJHUNU,SURAJGARH,PEEPLI,OBC,KRISHAN KUMAR,OBC
6337,JHUNJHUNU,SURAJGARH,PILOD,General,CHIRANGI LAL SHARMA,General
6338,JHUNJHUNU,SURAJGARH,SEHI KALAN,OBC (Woman),MANJU KUMARI,OBC (Woman)
6339,JHUNJHUNU,SURAJGARH,SUJDOLA,SC,SURENDRA KUMAR,SC
6340,JHUNJHUNU,SURAJGARH,SWAMI SEHI,SC,JOGENDRA SINGH,SC
6341,JHUNJHUNU,SURAJGARH,UREEKA,General (Woman),SUMAN,OBC (Woman)
6342,JHUNJHUNU,SURAJGARH,DALMIYA KI DHANI,SC (Woman),PREM,SC (Woman)
6343,JHUNJHUNU,UDAIPURWATI,BAGOLI,General (Woman),GAYETRI KANWAR,General
6344,JHUNJHUNU,UDAIPURWATI,BAGORA,OBC (Woman),SUMER DEVI,OBC
6345,JHUNJHUNU,UDAIPURWATI,BAJAWA RAWAT KA,OBC,BUDHV ARAM,OBC
6346,JHUNJHUNU,UDAIPURWATI,BAMLAS,General (Woman),SANJU,OBC (Woman)
6347,JHUNJHUNU,UDAIPURWATI,BARA GAON,General,SATYA KUMAR,SC
6348,JHUNJHUNU,UDAIPURWATI,BHATIWAR,General,MAHA VEER,OBC
6349,JHUNJHUNU,UDAIPURWATI,BHORKI,ST,NARESH,ST
6350,JHUNJHUNU,UDAIPURWATI,CHANW ARA,OBC (Woman),PRIYANKA,OBC (Woman)
6351,JHUNJHUNU,UDAIPURWATI,CHHAOSARI,SC,SUNIL KUMAR,SC
6352,JHUNJHUNU,UDAIPURWATI,CHHAPOLI,General (Woman),MUMT A,OBC (Woman)
6353,JHUNJHUNU,UDAIPURWATI,CHHAU,General (Woman),KIRAN,OBC (Woman)
6354,JHUNJHUNU,UDAIPURWATI,DHAMORA,OBC,JAGDESH,OBC
6355,JHUNJHUNU,UDAIPURWATI,DURIYA,OBC (Woman),BIML A,OBC (Woman)
6356,JHUNJHUNU,UDAIPURWATI,GUDA,General (Woman),MANISH URF MUKESH KANW AR,General
6357,JHUNJHUNU,UDAIPURWATI,GUDHA GORJI,General,RANVEER SINGH,OBC
6358,JHUNJHUNU,UDAIPURWATI,HANSALSAR,OBC,UDEY SINGH,OBC
6359,JHUNJHUNU,UDAIPURWATI,INDRAPURA,General,MANOHAR LAL,OBC
6360,JHUNJHUNU,UDAIPURWATI,JAHAZ,General (Woman),GEETA DEVI,OBC (Woman)
6361,JHUNJHUNU,UDAIPURWATI,JODHPURA,General (Woman),BIML A,ST
6362,JHUNJHUNU,UDAIPURWATI,KAKRANA,General,POOJA,OBC
6363,JHUNJHUNU,UDAIPURWATI,KED,General (Woman),GEETA DEVI,General (Woman)
6364,JHUNJHUNU,UDAIPURWATI,KISHOREPURA,General (Woman),SUMAN KUMARI,OBC (Woman)
6365,JHUNJHUNU,UDAIPURWATI,MAINPURA,General,NARENDER,General
6366,JHUNJHUNU,UDAIPURWATI,MANAKSAS,General (Woman),PRIYANKA DEVI,OBC
6367,JHUNJHUNU,UDAIPURWATI,MANDAWARA,SC (Woman),PAWAN,SC (Woman)
6368,JHUNJHUNU,UDAIPURWATI,NANGAL,SC,ARJUN LAL,SC
6369,JHUNJHUNU,UDAIPURWATI,NATAS,General (Woman),SAVITRI,OBC (Woman)
6370,JHUNJHUNU,UDAIPURWATI,NEORI,General (Woman),PUSHPA DEVI,OBC
6371,JHUNJHUNU,UDAIPURWATI,P ACHLANGI,General,ASHA BHAWARIYA,OBC
6372,JHUNJHUNU,UDAIPURWATI,P APRA,General,MUKKTI LAL,OBC
6373,JHUNJHUNU,UDAIPURWATI,PONKH,General,MOOL CHAND,OBC
6374,JHUNJHUNU,UDAIPURWATI,POSANA,General,KHAYALI RAM,OBC
6375,JHUNJHUNU,UDAIPURWATI,RAGHUNA THPURA,OBC (Woman),SUMAN DEVI,OBC
6376,JHUNJHUNU,UDAIPURWATI,SARAI,General,RAMCHANDER SINGH,General
6377,JHUNJHUNU,UDAIPURWATI,SEETHAL,General (Woman),SANJU,OBC (Woman)
6378,JHUNJHUNU,UDAIPURWATI,SIGNOR,General (Woman),SUMAN DEVI,OBC (Woman)
6379,JHUNJHUNU,UDAIPURWATI,TEET ANW AR,General,OM PRAKASH,OBC
6380,JHUNJHUNU,UDAIPURWATI,TODI,SC,RAJNI,SC
6381,JHUNJHUNU,UDAIPURWATI,GUDHABA VNI,SC,DARA SINGH,SC
6382,JHUNJHUNU,UDAIPURWATI,DHANIYA BHODKI,OBC,SHIV RAM,OBC
6383,JODHPUR,BALESAR,AGOLAI,OBC,DINESH CHANDRA,OBC
6384,JODHPUR,BALESAR,BALESAR DURGAVATA,General,PRITHVI SINGH,General
6385,JODHPUR,BALESAR,BALESAR SATTA,General (Woman),INDU BALA,OBC (Woman)
6386,JODHPUR,BALESAR,BASTVA,General (Woman),KAVITA KANWAR,General (Woman)
6387,JODHPUR,BALESAR,BAVRLI,General (Woman),SUA KANWAR,General (Woman)
6388,JODHPUR,BALESAR,BELWA,General (Woman),KAVRU KANWAR,General (Woman)
6389,JODHPUR,BALESAR,BELWA RANAJI,SC,GAYAD RAM,SC
6390,JODHPUR,BALESAR,BHATELAI PUROHITAN,General (Woman),PRIYANKA,OBC (Woman)
6391,JODHPUR,BALESAR,BIRAI,General,BHANWARDAN KAVIYA,General
6392,JODHPUR,BALESAR,DHADHINYA BHAYALA,General (Woman),GUDDI,General (Woman)
6393,JODHPUR,BALESAR,DHANDHIYA SASAN,General,KHIYARAM CHOUDHARY,OBC
6394,JODHPUR,BALESAR,DUGGAR,General,ASHOK PALIWAL,General
6395,JODHPUR,BALESAR,GOP ALSAR,General (Woman),AARTI,General (Woman)
6396,JODHPUR,BALESAR,KHARIBERI,General,ASHOK KUMAR,OBC
6397,JODHPUR,BALESAR,KHUDIYALA,General,PRAYAG SINGH,General
6398,JODHPUR,BALESAR,KUI INDA,General (Woman),MIKITA KANWAR,General (Woman)
6399,JODHPUR,BALESAR,NIMBI KA GAON,General,CHAMP ARAM,General
6400,JODHPUR,BALESAR,UTAMBAR,General (Woman),SANTOSH KANWAR,General (Woman)
6401,JODHPUR,BALESAR,JALANDHAMAGAR,SC,JATU DEVI,SC
6402,JODHPUR,BALESAR,DEVNAGAR,OBC,BHANW ARARAM,OBC
6403,JODHPUR,BALESAR,RAWALGARH,OBC (Woman),VIMLA DEVI,OBC (Woman)
6404,JODHPUR,BALESAR,HUNW A TNAGAR,SC (Woman),FULAN DEVI,SC (Woman)
6405,JODHPUR,BALESAR,ZIYABERI,OBC (Woman),SANGIT A,OBC (Woman)
6406,JODHPUR,BALESAR,CHIDW AI,ST,BABURAM,ST
6407,JODHPUR,BALESAR,KHONRI,OBC,POKARRAM,OBC
6408,JODHPUR,BALESAR,JUDIYA,SC,HEERARAM,SC
6409,JODHPUR,BAP,BADI SIDD,General,BHERU SINGH,General
6410,JODHPUR,BAP,BAP,General (Woman),POONAM PALIWAL,General (Woman)
6411,JODHPUR,BAP,BARU,OBC (Woman),RUKSANA MIRASI,OBC (Woman)
6412,JODHPUR,BAP,BUNGDI,ST,TIKU RAM,ST
6413,JODHPUR,BAP,CHAKHU,General,VEER BAHADUR SINGH,General
6414,JODHPUR,BAP,CHANP ASAR,General (Woman),SHRIMATI CHAGNI KUMARI,OBC (Woman)
6415,JODHPUR,BAP,CHARNAI,General,HAIDAR ALI,OBC
6416,JODHPUR,BAP,CHIMANA,General (Woman),MEERA,OBC
6417,JODHPUR,BAP,DEDASARI,General,ROSHAN ALI,OBC
6418,JODHPUR,BAP,GHANTIYALI,General (Woman),BHANWAR KANWAR,General (Woman)
6419,JODHPUR,BAP,GHATORE,OBC,BALAM KHAN,OBC
6420,JODHPUR,BAP,JAISLA,SC,SHIVLAL,SC
6421,JODHPUR,BAP,JAMBA,SC,KALI BAI,SC (Woman)
6422,JODHPUR,BAP,JOD,OBC,MEHBOOB,OBC
6423,JODHPUR,BAP,KALYANSINGH KI SIDD,General (Woman),TULSI,General
6424,JODHPUR,BAP,KANASAR,General (Woman),BABITA,OBC (Woman)
6425,JODHPUR,BAP,KANSINGH KI SIDD,SC,UTTMARAM MEGHWAL,SC
6426,JODHPUR,BAP,KELANSAR,OBC (Woman),SHAKUNT ALA,OBC (Woman)
6427,JODHPUR,BAP,LUNA,OBC,RAMPRATAP,OBC
6428,JODHPUR,BAP,NURE KI BHLURJ,General,SADIK KHAN,OBC
6429,JODHPUR,BAP,RANESARI,General (Woman),SUMITRA VISHNOI,OBC (Woman)
6430,JODHPUR,BAP,ROHINA,OBC,MAHIP AL,OBC
6431,JODHPUR,BAP,SANWRA GAON,General (Woman),KAMMA DEVI,OBC
6432,JODHPUR,BAP,SHEKHASAR,General,GIRDHARI SINGH,General
6433,JODHPUR,BAP,SURPURA,General,BHANWAR LAL,OBC
6434,JODHPUR,BAP,TEKRA,General,BHANWAR KANWAR,General (Woman)
6435,JODHPUR,BAP,TEPU,General (Woman),KISHAN KANWAR,General (Woman)
6436,JODHPUR,BAP,NARAYANPURA,OBC (Woman),GANGA KUMARI,OBC (Woman)
6437,JODHPUR,BAP,JEMLA,SC (Woman),PARWATI,SC (Woman)
6438,JODHPUR,BAP,KHIRWA,SC (Woman),JASODA,SC (Woman)
6439,JODHPUR,BAP,SIHADA,SC (Woman),PEMPO,SC (Woman)
6440,JODHPUR,BAWARI,ANW ANA,General,BHAGW ANCHAND,General
6441,JODHPUR,BAWARI,BAWARI,General,DINESH KUMAR,General
6442,JODHPUR,BAWARI,BHAWAD,SC,PRAMOD MEW,SC
6443,JODHPUR,BAWARI,BIRAI,OBC,BHAGU RAM,OBC
6444,JODHPUR,BAWARI,BODIVIKHRUD,General (Woman),VIMLA,OBC
6445,JODHPUR,BAWARI,BUCHETI,OBC (Woman),KANTA,OBC (Woman)
6446,JODHPUR,BAWARI,DANW ARA,SC (Woman),USHA KANWAR,SC (Woman)
6447,JODHPUR,BAWARI,DHANARIKALAN,General (Woman),GULAB DEVI,General (Woman)
6448,JODHPUR,BAWARI,GANGANI,OBC (Woman),BHARTI GODARA,OBC (Woman)
6449,JODHPUR,BAWARI,HATUNDI,SC,BABURAM,SC
6450,JODHPUR,BAWARI,JOIENTRA,General,BHANWAR SINGH,General
6451,JODHPUR,BAWARI,KAAIDAPA,General,KIRAN,General
6452,JODHPUR,BAWARI,KANJNAUKALAN,General (Woman),PRIYANKA,General (Woman)
6453,JODHPUR,BAWARI,KASTI,General (Woman),RENU,OBC
6454,JODHPUR,BAWARI,KELAWAKALA,General,JASWANT SINGH,General
6455,JODHPUR,BAWARI,LAVERA KALAN,General,MAMTA,General
6456,JODHPUR,BAWARI,NANDIYA KALAN,General (Woman),RAJ KANWAR,General (Woman)
6457,JODHPUR,BAWARI,NANDIYA KHURD,General,PURKHARAM SARAN,General
6458,JODHPUR,BAWARI,NET ARA,General (Woman),PAPPU DEVI,OBC
6459,JODHPUR,BAWARI,SOYALA,OBC,HARI RAM,OBC
6460,JODHPUR,BAWARI,VINAYAKPURA,ST,JAGDISH RAM,ST
6461,JODHPUR,BAWARI,JETIYAVAS,SC (Woman),MADHU,SC
6462,JODHPUR,BAWARI,DHANARI KHURD,OBC (Woman),MANGI DEVI,OBC (Woman)
6463,JODHPUR,BAWARI,MANSAGAR,OBC,POKAR RAM,OBC
6464,JODHPUR,BAWARI,MAILANA,SC (Woman),MAINA,SC (Woman)
6465,JODHPUR,BAWARI,LAVERA KHURD,General (Woman),PREM CHOUDHARY,OBC (Woman)
6466,JODHPUR,BAWARI,NANDIYA JAJDA,SC,CHUNARAM,SC
6467,JODHPUR,BHOP ALGARH,ARTIYA KALA,OBC,RAMNIW AS,OBC
6468,JODHPUR,BHOP ALGARH,ASOP,General (Woman),SAVITRI DEVI,General (Woman)
6469,JODHPUR,BHOP ALGARH,BAGORIYA,SC,RAMSUKH,SC
6470,JODHPUR,BHOP ALGARH,BARNI KHURD,SC,DARIYA,SC
6471,JODHPUR,BHOP ALGARH,BASNI HARISINGH,General,BHERU SINGH,General
6472,JODHPUR,BHOP ALGARH,BHOP ALGARH,OBC,JAMANA,OBC (Woman)
6473,JODHPUR,BHOP ALGARH,BUDKIYA,General,SAROJ KANWAR,General (Woman)
6474,JODHPUR,BHOP ALGARH,DEVATDA,SC,ARJUN RAM,SC
6475,JODHPUR,BHOP ALGARH,GAJSINGH PURA,OBC (Woman),SUSHIL A,OBC (Woman)
6476,JODHPUR,BHOP ALGARH,GARASANI,General (Woman),RAM KANYA,OBC (Woman)
6477,JODHPUR,BHOP ALGARH,HIRADESHAR,General (Woman),VANITA DEVI,OBC (Woman)
6478,JODHPUR,BHOP ALGARH,KHEDI SALVA,SC,PUSARAM,SC
6479,JODHPUR,BHOP ALGARH,KUDI,General (Woman),GEET A,OBC (Woman)
6480,JODHPUR,BHOP ALGARH,MANGARIYA,OBC (Woman),SUNIT A,OBC (Woman)
6481,JODHPUR,BHOP ALGARH,NADSAR,General (Woman),SUMAN KANWAR,General (Woman)
6482,JODHPUR,BHOP ALGARH,PALDI RANAVATAN,General (Woman),SARITA KANWAR,General (Woman)
6483,JODHPUR,BHOP ALGARH,RADOD,General,RAMESHW ARI,OBC (Woman)
6484,JODHPUR,BHOP ALGARH,RAJLANI,General,PHA TEHRAM,General
6485,JODHPUR,BHOP ALGARH,RAMPURA,General,RAMNIW AS,OBC
6486,JODHPUR,BHOP ALGARH,RUDIYA,OBC,DAYARAM,OBC
6487,JODHPUR,BHOP ALGARH,SURPURA KHURD,General (Woman),MONIKA,General (Woman)
6488,JODHPUR,BHOP ALGARH,USTRAD,General,DANA RAM,OBC
6489,JODHPUR,BHOP ALGARH,BIRANI,SC (Woman),SUSHIL A,SC (Woman)
6490,JODHPUR,BILARA,BALA,General (Woman),DEEPIKA,OBC (Woman)
6491,JODHPUR,BILARA,BERNA,General,GOP SINGH,General
6492,JODHPUR,BILARA,BHAVI,General,POONARAM,OBC
6493,JODHPUR,BILARA,BINJVADIYA,OBC (Woman),MANJU DEVI,OBC (Woman)
6494,JODHPUR,BILARA,CHANDELAV,General,GAYADRAM,OBC
6495,JODHPUR,BILARA,GHANAMAGRA,General,SUKHDEV,OBC
6496,JODHPUR,BILARA,HARIADHANA,General,RANVEER SINGH,General
6497,JODHPUR,BILARA,HARIYADA,OBC,NATHA RAM,OBC
6498,JODHPUR,BILARA,JETIVAS,General (Woman),SHOBHA KANWAR,General (Woman)
6499,JODHPUR,BILARA,JHAK,OBC,GODHA RAM,OBC
6500,JODHPUR,BILARA,KALAUNA,SC,GOKALRAM,SC
6501,JODHPUR,BILARA,KAPREDA,OBC (Woman),KHATUN,OBC (Woman)
6502,JODHPUR,BILARA,KHARIYA MITHAPUR,General (Woman),KAUSHALYA,OBC (Woman)
6503,JODHPUR,BILARA,KHEJDLA,General (Woman),BHAWNA KANWAR,General (Woman)
6504,JODHPUR,BILARA,LAMBA,SC,BHUTA RAM,SC
6505,JODHPUR,BILARA,MALKOSNI,General (Woman),ADITI KANWAR,OBC (Woman)
6506,JODHPUR,BILARA,OLVI,General (Woman),SHOBHA DEVI,OBC (Woman)
6507,JODHPUR,BILARA,PADASLA KALAN,General,VIJENDRA CHOUDHARY,OBC
6508,JODHPUR,BILARA,PATEL NAGAR,SC,MEGHARAM,SC
6509,JODHPUR,BILARA,PICHYAK,SC (Woman),SAPNA,SC (Woman)
6510,JODHPUR,BILARA,RAMASANI,SC (Woman),JYOTI SOLANKI,SC (Woman)
6511,JODHPUR,BILARA,RANSIGAON,OBC,DURGA RAM,OBC
6512,JODHPUR,BILARA,RAVAR,SC (Woman),ANNU,SC (Woman)
6513,JODHPUR,BILARA,SAMBADIYA,General,RAJENDRA SINGH,General
6514,JODHPUR,BILARA,UDLIYAVAS,General (Woman),SARITA SEERVI,OBC (Woman)
6515,JODHPUR,LUNI,BADLIYA,SC (Woman),REKHA,SC (Woman)
6516,JODHPUR,LUNI,BHACHARANA,ST,SURESH MEENA,ST
6517,JODHPUR,LUNI,BHANDU KALAN,General (Woman),BABINA KANWAR,General (Woman)
6518,JODHPUR,LUNI,BHA TINDA,General,NARPAT RAJ,General
6519,JODHPUR,LUNI,BIRAMI,General (Woman),KAMLA DEVI,OBC (Woman)
6520,JODHPUR,LUNI,BORANADA,General (Woman),DHAPU DEVI,OBC (Woman)
6521,JODHPUR,LUNI,CHICHDLI,General,OM PRAKASH,OBC
6522,JODHPUR,LUNI,DHAVA,General,MULARAM,General
6523,JODHPUR,LUNI,DHUNDHADA,General,JYOTSANA PATEL,OBC (Woman)
6524,JODHPUR,LUNI,DOLI,SC,KISHNARAM,SC
6525,JODHPUR,LUNI,FEENCH,General,DOLAT RAM,General
6526,JODHPUR,LUNI,FITKASANI,General,SANGRAM SINGH,OBC
6527,JODHPUR,LUNI,GUDA VISHNOIYA,OBC,MAINA DEVI,OBC (Woman)
6528,JODHPUR,LUNI,JANADESAR,OBC,BHANWAR LAL,OBC
6529,JODHPUR,LUNI,JHALAMAND,SC,KANARAM,SC
6530,JODHPUR,LUNI,JHANW AR,General (Woman),DHAPU,OBC (Woman)
6531,JODHPUR,LUNI,KAKELAV,General (Woman),SUGNA PALIWAL,General (Woman)
6532,JODHPUR,LUNI,KALIJAL,General,SURYANARAYAN,OBC
6533,JODHPUR,LUNI,KHARABERA PUROHITAN,General (Woman),SAYAR KANWAR,General (Woman)
6534,JODHPUR,LUNI,KHEJL KALAN,General,PURAN SINGH,General
6535,JODHPUR,LUNI,KHUDALA,OBC,OM PRAKASH,OBC
6536,JODHPUR,LUNI,LOLAWAS,General (Woman),USHA PALIWAL,General (Woman)
6537,JODHPUR,LUNI,LUNAVAS KHARA,General,BABULAL,OBC
6538,JODHPUR,LUNI,LUNAWAS KALAN,ST (Woman),PAPPU DEVI,ST (Woman)
6539,JODHPUR,LUNI,LUNI,OBC,MANISH BHATI,OBC
6540,JODHPUR,LUNI,MODGA KALAN,General,RANARAM,OBC
6541,JODHPUR,LUNI,MODI JOSHIYAN,General (Woman),KAVITA KANWAR,General (Woman)
6542,JODHPUR,LUNI,NANDW AN,General (Woman),RAJESHW ARI,OBC (Woman)
6543,JODHPUR,LUNI,NARNADI,General,HEERARAM,OBC
6544,JODHPUR,LUNI,PAL,OBC (Woman),ANIT A,OBC (Woman)
6545,JODHPUR,LUNI,P ALASANI,General (Woman),SHAKUNT ALA,OBC (Woman)
6546,JODHPUR,LUNI,PIPRALI,General (Woman),SAROJ KANWAR,General (Woman)
6547,JODHPUR,LUNI,ROHICHA KALAN,General (Woman),MANJU VISHNOI,OBC (Woman)
6548,JODHPUR,LUNI,SALAWAS,SC (Woman),REKHA MANGAS,SC (Woman)
