year,ward_no,serial,candidate,party,party_local,votes,electorate,valid_votes,source_path
2012,22,4,Rashmi Mestri,INC,Indian National Congress,2911,32486,15834,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,22,5,Bharti Raut - Pawar,black panther,black panther,125,32486,15834,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,22,6,Yadav Sunita Ramnagina,BJP,bjp,6245,32486,15834,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,1,Chavan Chaya Vinod,IND,Apaksh,211,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,2,Dhakad Pushpa Vinod,INC,Indian National Congress,7434,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,3,Gaud Champadevi Gulab,IND,Apaksh,66,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,4,Shashikala Marchande -Soni,black panther,black panther,85,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,5,Nilaxi Subhash Patil,IND,Apaksh,358,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,6,Aarti Vinod Pawar,MNS,Maharashtra Navnirman Sena,4705,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,7,Prajakta Sawant,SS,shivsena,9523,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,8,Shelar Sujata Shridhar,IND,Apaksh,1973,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,9,Indudevi Ashok Singh,IND,Apaksh,469,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,10,Sandhya Ramesh Vadmare,BSP,Bahujan Samaj Party,107,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,23,11,Rajmati Shyamdulare Vishwakarma,Samajvadi Party,Samajvadi Party,282,55848,25213,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,24,1,Yogesh Janardan Bhoir,INC,Indian National Congress,8876,47025,22230,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,24,2,Chavan Ranjan Gajanan,IND,Apaksh,1754,47025,22230,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,24,3,Jayprakash (Jaya) Madhukar Godambe,MNS,Maharashtra Navnirman Sena,4463,47025,22230,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,24,4,Aatmaram Harishchandra Kambali,SS,shivsena,6710,47025,22230,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,24,5,Sharad Dadaji Sonavane,IND,Apaksh,175,47025,22230,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,24,6,Santosh Ramesh Vadekar,IND,Apaksh,252,47025,22230,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,1,Bhilare Sangita Gopichand,IND,Apaksh,1019,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,2,Sangita Vilas Kasare,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,233,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,3,Mayekar Harshada Ratnakant,IND,Apaksh,4788,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,4,Kavita Sunil Mishra,maharashtra parivartan sena,maharashtra parivartan sena,171,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,5,Kalpana Vijay Mun,BSP,Bahujan Samaj Party,495,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,6,Bharti Ram Pandagale,IND,Apaksh,1685,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,7,Pandagale Sushma Vijay,IND,Apaksh,620,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,8,Shitija Umesh Pujare,MNS,Maharashtra Navnirman Sena,4073,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,9,Jaitun Mohseen Shaikh,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,252,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,10,Singh Shaila Ashokkumar,IND,Apaksh,97,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,11,Surana Sangita Dinesh,IND,Apaksh,199,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,12,Nirmaladevi (Gangubai) Tandan,IND,Apaksh,48,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,13,Suman Sayaji Ughade,janta dal (S),janta dal (S),747,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,25,14,Dr. Ajanta Rajpati Yadav,INC,Indian National Congress,7356,48918,22094,data/maharashtra/mumbai/2012_scanned_data.xlsx
