year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,28,EKNATH DNYANDEV HUNDARE,SS,Shivsena,4608,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,KIRAN CHANDRAKANT SALUNKHE,BJP,Bhartiya Janata Party,4572,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,BALKRISHNA PRABHAKAR PALKAR,MNS,Maharashtra Navnirman Sena,923,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,VASANTRAO KRISHNARAO GHONGE,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,903,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,NILESHKUMAR GATTU YADAV,SP,Samajwadi Party,595,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,RAJAN RAMDAS PATIL,BSP,Bahujan Samaj Party,581,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,SURENDRA MACHINDRA JOSHI,Akhil Bharatiya Sena,Akhil Bharatiya Sena,199,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,NOTA,,,361,,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,Sagar Ramesh Singh,BJP,Bhartiya Janata Party,8043,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,SACHIN BALKRISHNA PATIL,SS,Shivsena,5231,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,Ramashish Gopal Gupta,INC,Indian National Congress,3956,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,MUKESH BASANTILAL PAMECHA,IND,Independent,1977,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,Satish Manohar Desai,IND,Independent,934,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,sushil prakash gunje,MNS,Maharashtra Navnirman Sena,538,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,RAJESH JAGANNATH SALVE,BSP,Bahujan Samaj Party,110,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,Kiran Purushottam More,NCP,Nationalist Congress Party,90,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,PUNIT HIRAMAN YADAV,SP,Samajwadi Party,77,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,RAVI RAMAASRE VISHWAKARMA,IND,Independent,32,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,NILESH HARIDAS NAVGIRE,IND,Independent,25,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,Shashikala Barkya Marchande,National Black Panthar,National Black Panthar,22,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,LAXMAN YELLPPA KURADE,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,18,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,29,NOTA,,,273,,data/maharashtra/mumbai/mumbai_2017.csv
2017,30,LEENA RAJESH DEHERKAR,BJP,Bhartiya Janata Party,18333,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,30,NAMRATA NIKUNJ RUGHANI,SS,Shivsena,3459,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,30,Nirmala Brijmohan Kanoujia,INC,Indian National Congress,1511,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,30,MINAL JITENDRA DWIVEDI,MNS,Maharashtra Navnirman Sena,834,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,30,meena jitendra gohil,SP,Samajwadi Party,63,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,30,NOTA,,,490,,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,KAMLESH SHOBHNATH YADAV,BJP,Bhartiya Janata Party,7826,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,GEETA ASHISH YADAV,INC,Indian National Congress,3973,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,DINESH ANANT SALVI,MNS,Maharashtra Navnirman Sena,3163,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,KAILASH BALIRAM YADAV,SP,Samajwadi Party,2535,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,KAMLESH RAMSANEHI YADAV,SS,Shivsena,1994,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,BABITA DEVIDAS BHATKAR,BSP,Bahujan Samaj Party,163,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,Sonal Sandeep Vasaikar,NCP,Nationalist Congress Party,104,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,31,NOTA,,,248,,data/maharashtra/mumbai/mumbai_2017.csv
2017,32,STEFFIE MORRIS KINNY,INC,Indian National Congress,6775,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,32,GEETA KIRAN BHANDARI,SS,Shivsena,5765,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,32,ARCHANA BHUSHAN WADE,BJP,Bhartiya Janata Party,5320,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,32,CHANDRAKALA GOVIND MOHANE,MNS,Maharashtra Navnirman Sena,393,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,32,NOTA,,,440,,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,VIRENDRA TUKARAM CHOUDHARY,INC,Indian National Congress,5232,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,UJWALA PRAMOD VAITY,BJP,Bhartiya Janata Party,2690,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,AJIT DAMODAR BHANDARI,SS,Shivsena,2418,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,JAYARAM SITARAM MANDAVKAR,IND,Independent,1802,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,MOHDMUZAMMIL MOHDSHAKIL BAGHBAN,AIMIM,All India Majlis e Ittehadul Muslimeen,1302,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,DISHA DATTARAM KANADE,NCP,Nationalist Congress Party,490,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,VIKAS MORRESHWAR BHOPI,IND,Independent,22,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,33,NOTA,,,177,,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,QUMARJAHAN MOHAMMEDMOEEN SIDDIQUI,INC,Indian National Congress,10500,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,SUVARNA PRAKASH MADYALKAR,SS,Shivsena,4195,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,SHABANA JAWED AZAM,BJP,Bhartiya Janata Party,4027,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,ALIYA HAIYUR KHAN,AIMIM,All India Majlis e Ittehadul Muslimeen,1490,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,VAISHALI VISHWAS GHADIGAONKAR,MNS,Maharashtra Navnirman Sena,1127,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,SONI SOHAIL RIZVI,SP,Samajwadi Party,934,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,NaseemBegum Ahmed Khan,Communist Party Of India (Marxist),Communist Party Of India (Marxist),294,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,RUPALI BINAY SINGH,IND,Independent,70,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,VIMAL LAXMAN BONDARE,Bahujan Mukti Party,Bahujan Mukti Party,56,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,34,NOTA,,,224,,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,SEJAL PRASHANT DESAI,BJP,Bhartiya Janata Party,13751,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,PARUL PINAKIN MEHTA,INC,Indian National Congress,5778,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,_______ _____ ____ _____,SS,Shivsena,5624,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,THREESA SUBRAMANIAM NADAR,IND,Independent,344,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,shweta shailesh hingu,NCP,Nationalist Congress Party,150,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,RUPA HITEN SHAH,IND,Independent,107,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,SUPADABAI MURLIDHAR JANJALE,IND,Independent,55,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,35,NOTA,,,473,,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,Daksha Jagdish Patel,BJP,Bhartiya Janata Party,11692,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,SWATI SUNIL GUJAR,SS,Shivsena,10052,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,DIXITA JAYESH SHAH,INC,Indian National Congress,3009,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,GEETA MAHESHKUMAR FARKASE,MNS,Maharashtra Navnirman Sena,2829,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,BHAGYASHREE PRABHAKAR DHAMANSKAR,IND,Independent,444,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,SHOBHA BHALCHANDRA ALHAT,IND,Independent,183,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,36,NOTA,,,483,,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,Pratibha Hemant Shinde,BJP,Bhartiya Janata Party,7815,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,POOJA RANVIRSINGH CHAUHAN,SS,Shivsena,6363,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,RUPALI AJIT RAORANE,NCP,Nationalist Congress Party,4624,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,Jayshree Chandrakant Thasale,MNS,Maharashtra Navnirman Sena,2123,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,Anusaya Anant Pawar,INC,Indian National Congress,1444,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,Mayuri Uttam Nadkar,Communist Party Of India (Marxist),Communist Party Of India (Marxist),232,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,NANDA KAMALDEEP SINGH,united congress party,united congress party,62,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,arti anand jadhav,IND,Independent,46,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,37,NOTA,,,326,,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,Atmaram Laxman Chache,SS,Shivsena,6416,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,Lalasaheb Gorakhnath Ubale,BJP,Bhartiya Janata Party,3715,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,vaibhav hemant bharadkar,NCP,Nationalist Congress Party,2854,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,SUDHIR TUKARAM BHARADKAR,INC,Indian National Congress,2438,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,Rakesh Shankar Dhanawade,MNS,Maharashtra Navnirman Sena,2229,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,anil namdeo korgaonkar,IND,Independent,211,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,nikhil shankar salunkhe,BSP,Bahujan Samaj Party,147,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,LAHU BALIRAM TELI,IND,Independent,40,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,38,NOTA,,,268,,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,VINAYA VISHNU SAWANT,SS,Shivsena,5663,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,Suman Indrajeet Singh,Rashtriya Samaj Paksha,Rashtriya Samaj Paksha,4291,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,KUSUM DINESH GUPTA,INC,Indian National Congress,3698,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,URMILA MALLHARI GOTMUKLE,BSP,Bahujan Samaj Party,649,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,SAMIKSHA BHARAT THAKUR,NCP,Nationalist Congress Party,613,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,NAGESHWARI VIJAYKUMAR PANCHAL,MNS,Maharashtra Navnirman Sena,466,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,REKHA RAJMAN GUPTA,SP,Samajwadi Party,244,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,SULAKSHANA NITIN SHINDE,IND,Independent,157,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,CHHAYA BHAGWAN DHANRAJ,Republican Party of India (A),Republican Party of India (A),143,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,LALITA VITTHAL LOKHANDE,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,95,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,UMA MAROTRAO THORAT,IND,Independent,73,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,ANITA SHIVAJI SHINDE,IND,Independent,54,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,39,NOTA,,,221,,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,suhas chandrakant wadkar,SS,Shivsena,8946,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,SANJAY BABURAO AVHAD,NCP,Nationalist Congress Party,2815,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,KAVITA SHRINIVASAN SALIYAR,Rashtriya Samaj Paksha,Rashtriya Samaj Paksha,2674,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,arun dhondu mandave,INC,Indian National Congress,2268,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,BHARTI PRABHAKAR SANGALE,MNS,Maharashtra Navnirman Sena,1201,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,maruti nabaji ugale,SP,Samajwadi Party,490,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,Madhukar Anant Vajantri,IND,Independent,261,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,NANDKISHOR MARUTI AGRE,BSP,Bahujan Samaj Party,260,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,DIVESH RAMSANEHI YADAV,BJP,Bhartiya Janata Party,55,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,40,NOTA,,,469,,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,TULSHIRAM DHONDIBA SHINDE,IND,Independent,6217,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,SADASHIV DADU PATIL,SS,Shivsena,3869,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,Archana Sunil Desai,BJP,Bhartiya Janata Party,2075,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,ANWAR PEER SAYYAD,NCP,Nationalist Congress Party,1858,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,JULIE RAMAN PATEL,SP,Samajwadi Party,1055,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,raghunath koraga kottary,IND,Independent,746,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,JAYKANT PRAYAGNARAYN SHUKLA,INC,Indian National Congress,631,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,AJAY PRABHAKAR sawant,MNS,Maharashtra Navnirman Sena,600,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,SACHIN GUNAJI KELKAR,IND,Independent,584,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,SHAMRAO BHIWAJI HIWALE,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,309,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,ABDULWAHAB FAIYAZALI SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,173,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,Rijwan Istiyak Khan,BSP,Bahujan Samaj Party,136,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,sachin babhut gholap,IND,Independent,131,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,Rakesh Lalmani Yadav,IND,Independent,83,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,paresh suresh MORE,IND,Independent,58,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,MANGESH MAHADEO PAWAR,Bahujan Mukti Party,Bahujan Mukti Party,55,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,DATTATRAY SHANTARAM KARADKAR,Sambhaji Brigade,Sambhaji Brigade,34,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,Nazir Rajjabali Shaikh,Bharatwadi Akata party,Bharatwadi Akata party,23,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,41,NOTA,,,154,,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,DHANSHREE VAIBHAVB BHARADKAR,NCP,Nationalist Congress Party,5897,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,REENA RAJENDRA SURVE,SS,Shivsena,5175,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,Bharti Madhukar Bende,BJP,Bhartiya Janata Party,3583,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,Renu Birju Yadav,INC,Indian National Congress,1727,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,DEEPALI DATTATRAY MAIN,MNS,Maharashtra Navnirman Sena,1170,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,PAYAL ANIL BARI,SP,Samajwadi Party,727,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,MOHINI VISHWAJIT PATIL,BSP,Bahujan Samaj Party,235,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,Vishakha Vasant Gurav,IND,Independent,142,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,42,NOTA,,,210,,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,VINOD UDAYNARAYAN MISHRA,BJP,Bhartiya Janata Party,5620,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,Bhomsingh Hirsingh Rathore,SS,Shivsena,4911,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,AJIT BALKRUSHNA RAORANE,NCP,Nationalist Congress Party,4782,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,SANDEEP LALAN SINGH,INC,Indian National Congress,2758,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,shakir nasir shaikh,AIMIM,All India Majlis e Ittehadul Muslimeen,2563,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,SITARAM NARAYAN JADHAV,MNS,Maharashtra Navnirman Sena,746,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,PRAMOD RAGHUNATH JADHAV,IND,Independent,323,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,udayraj shobhnath yadav,SP,Samajwadi Party,125,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,Prasad Vishwanath Gupta,Communist Party Of India (Marxist),Communist Party Of India (Marxist),120,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,azad ahmad habib ahmad shaikh,IND,Independent,39,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,NAZIM YUSUF KHAN,IND,Independent,32,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,TANAJI TRIMBAK KAKADE,IND,Independent,27,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,43,NOTA,,,258,,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,Sangeeta Gyanmurti Sharma,BJP,Bhartiya Janata Party,9955,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,Ranjana Subhash Dhanuka,SS,Shivsena,5550,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,nasreen fahim khan,AIMIM,All India Majlis e Ittehadul Muslimeen,2903,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,DEEPA RANASANGRAM SINGH,INC,Indian National Congress,999,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,JANVI VIPUL MANE,NCP,Nationalist Congress Party,574,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,Rukhsana mohdsiddique memon,SP,Samajwadi Party,513,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,REKHA SANJAY SONAWANE,MNS,Maharashtra Navnirman Sena,408,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,MANISHA SATISH VARDE,BSP,Bahujan Samaj Party,188,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,SUREKHA DEIPAK FADIA,INC,Indian National Congress,53,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,44,NOTA,,,349,,data/maharashtra/mumbai/mumbai_2017.csv
2017,45,RAMNARAYAN AMTHARAM BAROT,BJP,Bhartiya Janata Party,16407,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,45,Rajendra Nandkumar Kale,SS,Shivsena,5609,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,45,Ramesh Arvind Yadav,INC,Indian National Congress,2930,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,45,NILESH SHANTARAM MUDRALE,MNS,Maharashtra Navnirman Sena,406,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,45,SHRIDHAR SHANKAR KANNURE,Republican Party of India (Secular),Republican Party of India (Secular),94,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,45,NOTA,,,449,,data/maharashtra/mumbai/mumbai_2017.csv
2017,46,YOGITA SUNIL KOLI,BJP,Bhartiya Janata Party,16868,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,46,ANAGHA PRAKASH MHATRE,SS,Shivsena,8501,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,46,SANDHYA ASHOK NAZARE,INC,Indian National Congress,2197,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,46,DIPALI VILAS MORE,MNS,Maharashtra Navnirman Sena,745,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,46,NOTA,,,602,,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,Jaya SatnamSingh Tiwana,BJP,Bhartiya Janata Party,9301,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,PINKYKAUR VAJINDERSINGH BHATIA,INC,Indian National Congress,7486,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,Supriya Vijay Pawar,SS,Shivsena,3463,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,EmilaJosephine Celistin Chetty,IND,Independent,672,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,SHEETAL RAKESH CHOUDHARY,MNS,Maharashtra Navnirman Sena,545,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,RAJMANI SUBRAMANIAM S,All India Anna Dravid Munnetra Kazhagam Party,All India Anna Dravid Munnetra Kazhagam Party,283,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,Pooja Ganesh Honawar,NCP,Nationalist Congress Party,57,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,Kayathri Thangraj Kolande,IND,Independent,56,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,47,NOTA,,,490,,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,SALMA SALIM ALMELKAR,INC,Indian National Congress,6655,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,MOHDISMAIL SUHAIL SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,2347,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,_____ ________ ______,SS,Shivsena,2219,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,MohammedShamim MohammedShafi Radiowala,BJP,Bhartiya Janata Party,1601,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,MANGESH SADASHIV SHEDGE,IND,Independent,751,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,Sharif Hanif Shaikh,NCP,Nationalist Congress Party,572,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,SUSHANT SUNIL MALAVADE,MNS,Maharashtra Navnirman Sena,390,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,MOHDFIROZ SAMIDAHMED ANSARI,IND,Independent,165,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,SAEED SHERFUDDIN SHAIKH,SP,Samajwadi Party,139,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,48,NOTA,,,157,,data/maharashtra/mumbai/mumbai_2017.csv
2017,49,Sangeeta Sanjay Sutar,SS,Shivsena,7359,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,49,FEMIDA IBRAHIM SAYYED,INC,Indian National Congress,5431,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,49,MERILA HAVEN MENDES,BJP,Bhartiya Janata Party,2204,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,49,SARIKA AUSTIN GRACIOUS,NCP,Nationalist Congress Party,1430,4,data/maharashtra/mumbai/mumbai_2017.csv
