source_pdf,tier,reservation_raw,caste_reservation_local,caste_reservation,woman_reserved,count,min_match_score
block_member_kalol_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય -,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય .,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય |),બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ * _,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ સ્ત્રી,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,સા.શૈે.પછાતવર્ગ,સા.શૈ.પછાતવર્ગ,BC,0,1,0.96
block_member_kalol_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,2,1.0
block_member_kalol_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી !,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,2,1.0
block_member_kalol_tps_2020.pdf,block_member,સામાન્યસ્ત્રી *,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,સામાન્યસ્ત્રી _,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,' બિન અનામતસામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,_ અનુસૂચિત આદિજાતિસ્ત્રી,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ,અનુસૂચિત આદિજાતિ,ST,0,2,1.0
block_member_kamrej_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ .,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ સ્ત્રી *,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ —,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિસ્ત્રી,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,અનુસૂચિત જાતિસ્ત્રી,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,4,1.0
block_member_kamrej_tps_2020.pdf,block_member,સા.શૈ.પછા તવર્ગ સ્ત્રી,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ *,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_kamrej_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,2,1.0
block_member_kamrej_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી *,સામાન્ય સ્ત્રી,NONE,1,1,1.0
