Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Sh. Hukum Chand,IND,224,Pandav Nagar (G),538,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.26,1.3,
Sh. Pushpa Devi,IND,224,Pandav Nagar (G),294,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.78,0.71,
Sh. Ghan Shyam Rana,NCP,224,Pandav Nagar (G),255,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.55,0.61,
Mahesh Chand,IND,224,Pandav Nagar (G),65,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.16,
Prabha Wati,LJP,224,Pandav Nagar (G),57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.14,
Reeta Kunwar,IND,224,Pandav Nagar (G),40,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.1,
Swinderjit Singh Bajwa,BJP,225,Anand Vihar (G),8922,winner,,,,,,,,,,,,,,,,,,,,,,34524,15639,45.3,57.05,25.84,
Kishori Lal,INC,225,Anand Vihar (G),3874,Lost,,,,,,,,,,,,,,,,,,,,,,,,,24.77,11.22,
Atam Prakash Jain,IND,225,Anand Vihar (G),2068,Lost,,,,,,,,,,,,,,,,,,,,,,,,,13.22,5.99,
Gaurav Mahana,BSP,225,Anand Vihar (G),701,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.48,2.03,
Jagdish Saran Saksena Raj,INLD,225,Anand Vihar (G),74,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.21,
Dr. Kanwar Sain,BJP,226,Vishwas Nagar (SC),6685,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,40950,16776,40.97,39.85,16.32,
Suresh Kumar,INC,226,Vishwas Nagar (SC),3540,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,21.1,8.64,
Bhim Singh,BSP,226,Vishwas Nagar (SC),3195,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,19.05,7.8,
Raj Kumar,IND,226,Vishwas Nagar (SC),1234,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,7.36,3.01,
Kamlesh,IND,226,Vishwas Nagar (SC),879,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,5.24,2.15,
Rohtas Kumar,LJP,226,Vishwas Nagar (SC),793,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.73,1.94,
Ram Avtar,IND,226,Vishwas Nagar (SC),245,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.46,0.6,
Parveen kumar,IND,226,Vishwas Nagar (SC),134,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.33,
Ravi Kant,NCP,226,Vishwas Nagar (SC),71,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.17,
Manju,BJP,227,I.P. Extension (W),6477,winner,Women,,,,,,,,,,,,,,,,,,,,,41151,13639,33.14,47.49,15.74,
Radha Sharma,INC,227,I.P. Extension (W),2911,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,21.34,7.07,
Geeta Devi,IND,227,I.P. Extension (W),1897,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,13.91,4.61,
Beervatti,BSP,227,I.P. Extension (W),1866,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,13.68,4.53,
Sunita,IND,227,I.P. Extension (W),271,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.99,0.66,
Neeru Sehgal,INLD,227,I.P. Extension (W),217,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.59,0.53,
Ravi Parkash Sharma,BJP,228,Preet Vihar (G),8577,winner,,,,,,,,,,,,,,,,,,,,,,38978,16285,41.78,52.67,22,
Gurucharan Singh,INC,228,Preet Vihar (G),5974,Lost,,,,,,,,,,,,,,,,,,,,,,,,,36.68,15.33,
Amar Deep,IND,228,Preet Vihar (G),1671,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.26,4.29,
Karan Singh,IND,228,Preet Vihar (G),63,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.16,
Dr. Vinod Kumar Monga,BJP,229,Krishna Nagar (G),11764,winner,,,,,,,,,,,,,,,,,,,,,,37750,18547,49.13,63.43,31.16,
Harish Chander,INC,229,Krishna Nagar (G),5753,Lost,,,,,,,,,,,,,,,,,,,,,,,,,31.02,15.24,
Krishan Kumar,NCP,229,Krishna Nagar (G),826,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.45,2.19,
Suraj Prakash,IND,229,Krishna Nagar (G),204,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.54,
Neema  Bhagat,BJP,230,Geeta Colony (W),8543,winner,Women,,,,,,,,,,,,,,,,,,,,,41174,18073,43.89,47.27,20.75,
Praveen Kumari,INC,230,Geeta Colony (W),8193,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,45.33,19.9,
Rani,BSP,230,Geeta Colony (W),590,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.26,1.43,
Tasleem,NCP,230,Geeta Colony (W),530,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.93,1.29,
Vinod Sharma,IND,230,Geeta Colony (W),217,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.53,
Rajesh Gaur,BJP,231,Ghondli (G),7669,winner,,,,,,,,,,,,,,,,,,,,,,40493,19491,48.13,39.35,18.94,
Ramesh Pandit,INC,231,Ghondli (G),7354,Lost,,,,,,,,,,,,,,,,,,,,,,,,,37.73,18.16,
Mahender,BSP,231,Ghondli (G),1517,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.78,3.75,
Liyaqat Ali,IND,231,Ghondli (G),1065,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.46,2.63,
Md. Ilyas,IND,231,Ghondli (G),617,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.17,1.52,
Sagir Mohd.,SP,231,Ghondli (G),438,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.08,
Riyazuddin,NCP,231,Ghondli (G),403,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1,
Ishwarchand Aggarwal,IND,231,Ghondli (G),213,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.53,
Sadaqat Ullah,IND,231,Ghondli (G),139,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.34,
Sh.Ravi Dutt Kaushik,IND,231,Ghondli (G),51,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.13,
Sushil Kumar,INLD,231,Ghondli (G),25,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.06,
Deepika Khullar,IND,232,Anarkali (G),8597,winner,,,,,,,,,,,,,,,,,,,,,,42560,21769,51.15,39.49,20.2,
Gurumeet Singh,BJP,232,Anarkali (G),7938,Lost,,,,,,,,,,,,,,,,,,,,,,,,,36.46,18.65,
Parveen Chaudhary,INC,232,Anarkali (G),3233,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.85,7.6,
Shish Ram,BSP,232,Anarkali (G),816,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.75,1.92,
Rajinder Sharma,IND,232,Anarkali (G),395,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.81,0.93,
Rajiv Kumar,IND,232,Anarkali (G),235,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.55,
Madan Mohan Aggarwal,SS,232,Anarkali (G),226,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.53,
Karan Singh,JD(U),232,Anarkali (G),167,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.39,
Jai Gopal,INLD,232,Anarkali (G),96,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.23,
Satish Kumar Sawhney,NCP,232,Anarkali (G),66,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.16,
Deepa Jain,INC,233,Dharam Pura (W),6613,winner,Women,,,,,,,,,,,,,,,,,,,,,31855,14315,44.94,46.2,20.76,
Geeta Sharma,BJP,233,Dharam Pura (W),5757,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,40.22,18.07,
Rana Begum,IND,233,Dharam Pura (W),593,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.14,1.86,
Suman Bala,IND,233,Dharam Pura (W),499,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.49,1.57,
Hazara Begam,JD(S),233,Dharam Pura (W),458,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.2,1.44,
Sairo Bano,IND,233,Dharam Pura (W),148,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.46,
Taro,IND,233,Dharam Pura (W),102,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.32,
Nasrin,IND,233,Dharam Pura (W),95,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.3,
Pooja,NCP,233,Dharam Pura (W),50,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.16,
Surender Prakash Sharma,INC,234,Gandhi Nagar (G),8571,winner,,,,,,,,,,,,,,,,,,,,,,32446,17103,,50.11,26.42,
Raghuveer Singh Jain,BJP,234,Gandhi Nagar (G),6977,Lost,,,,,,,,,,,,,,,,,,,,,,,,,40.79,21.5,
Ramesh Chand Jain,IND,234,Gandhi Nagar (G),661,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.86,2.04,
Shafik Ahmed Ansari,IND,234,Gandhi Nagar (G),348,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.07,
Mahesh Kumar,NCP,234,Gandhi Nagar (G),172,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.53,
Subhash,BSP,234,Gandhi Nagar (G),153,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.47,
Shreyans Kumar Jain,IND,234,Gandhi Nagar (G),94,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.29,
Nitin Kumar Jain,IND,234,Gandhi Nagar (G),77,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.24,
Anil Kumar,IND,234,Gandhi Nagar (G),50,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.15,
Sumesh Kapoor,BJP,235,Azad Nagar (G),8840,winner,,,,,,,,,,,,,,,,,,,,,,40303,18516,45.94,47.74,21.93,
Brij Mohan Mahajan,INC,235,Azad Nagar (G),3873,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.92,9.61,
Neeraj Sharma,IND,235,Azad Nagar (G),2935,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.85,7.28,
Nathu Singh,BSP,235,Azad Nagar (G),559,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.02,1.39,
Arun Kumar,INLD,235,Azad Nagar (G),507,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.74,1.26,
Iqbal Hussain,IND,235,Azad Nagar (G),465,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1.15,
Mohd. Afroz,IND,235,Azad Nagar (G),385,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.96,
Vivek Kumar Sharma,SP,235,Azad Nagar (G),338,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.83,0.84,
Ashraf,IND,235,Azad Nagar (G),207,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.51,
Satyender Kumar,IND,235,Azad Nagar (G),186,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1,0.46,
Jitendra Kumar Tuli,IND,235,Azad Nagar (G),78,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.19,
Hamesh Kumar,IND,235,Azad Nagar (G),75,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.19,
Pawan Kumar Jain,IND,235,Azad Nagar (G),68,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.17,
Indu Mishra,BJP,236,Raghubar Pura (W),9340,winner,Women,,,,,,,,,,,,,,,,,,,,,37153,17301,46.57,53.99,25.14,
Varyam Kaur,INC,236,Raghubar Pura (W),6975,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,40.32,18.77,
Ved Rani,BSP,236,Raghubar Pura (W),508,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.94,1.37,
Sadia Begum,IND,236,Raghubar Pura (W),478,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.76,1.29,
Nirmal Jain,BJP,237,Shahdara (G),7578,winner,,,,,,,,,,,,,,,,,,,,,,41171,19928,48.4,38.03,18.41,
Ranjet Singh Gupta,INC,237,Shahdara (G),5572,Lost,,,,,,,,,,,,,,,,,,,,,,,,,27.96,13.53,
Sh Vinod Dubey,NCP,237,Shahdara (G),2250,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.29,5.47,
Sh Manoj,BSP,237,Shahdara (G),2196,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.02,5.33,
Sh Man Mohan Singh,INLD,237,Shahdara (G),944,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.74,2.29,
Sarla,IND,237,Shahdara (G),917,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.6,2.23,
Subhash Gahlot,IND,237,Shahdara (G),232,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.56,
Smt. Gurmeet Kaur,IND,237,Shahdara (G),202,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.49,
Sh Naresh Chand,IND,237,Shahdara (G),37,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.09,
Sh Jitender Singh Shunty,IND,238,Jhilmil (G),6301,winner,,,,,,,,,,,,,,,,,,,,,,35639,18413,51.67,34.22,17.68,
Jai Parkash,BJP,238,Jhilmil (G),4323,Lost,,,,,,,,,,,,,,,,,,,,,,,,,23.48,12.13,
ANIL KUMAR KAUSHIK,INC,238,Jhilmil (G),3238,Lost,,,,,,,,,,,,,,,,,,,,,,,,,17.59,9.09,
Sh. Rajiv Sharma,BSP,238,Jhilmil (G),1861,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.11,5.22,
Sh Jagdish,INLD,238,Jhilmil (G),1503,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.16,4.22,
Sh Surinder Kumar,IND,238,Jhilmil (G),350,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.98,
Sh. Lalit Kumar Aggarwal,IND,238,Jhilmil (G),163,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.46,
Sh. B.M. Manchanda,RJD,238,Jhilmil (G),145,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.41,
Sh Rakesh Prasad,RLD,238,Jhilmil (G),136,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.38,
Sh Raminder Singh,IND,238,Jhilmil (G),127,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.36,
Sh Vijay Prakash Gautam,IND,238,Jhilmil (G),104,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.29,
Sh. Satish,IND,238,Jhilmil (G),77,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.22,
Sh Ravi Mehra,IND,238,Jhilmil (G),46,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.13,
Sh Mohan Lal,IND,238,Jhilmil (G),39,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.11,
Preeti,INC,239,Vivek Vihar (W),7183,winner,Women,,,,,,,,,,,,,,,,,,,,,34401,14712,42.77,48.82,20.88,Harnidh
SARLA DEVI PARIHAR,BJP,239,Vivek Vihar (W),4754,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,32.31,13.82,
Ms Urmila,BSP,239,Vivek Vihar (W),1551,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,10.54,4.51,
Ms Sushila Kapoor,IND,239,Vivek Vihar (W),904,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.14,2.63,
Sh.  Suriya,IND,239,Vivek Vihar (W),256,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.74,0.74,
Ms Neelam Kumari,IND,239,Vivek Vihar (W),64,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.19,
Ram Narayan Dube,BJP,240,Dilshad Colony (G),4062,winner,,,,,,,,,,,,,,,,,,,,,,34051,15384,45.18,26.4,11.93,
SUSHIL TIWARI,INC,240,Dilshad Colony (G),3608,Lost,,,,,,,,,,,,,,,,,,,,,,,,,23.45,10.6,
Sh Azad,IND,240,Dilshad Colony (G),1815,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.8,5.33,
Sh Deepak kumar,SP,240,Dilshad Colony (G),1589,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.33,4.67,
Sh Sukhvinder,IND,240,Dilshad Colony (G),1077,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7,3.16,
Sh Sudhi kant Jha,IND,240,Dilshad Colony (G),535,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.48,1.57,
Sh. K. Vishawananthan,CPI-M,240,Dilshad Colony (G),474,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.08,1.39,
Sh Vijay Suman,IND,240,Dilshad Colony (G),324,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.11,0.95,
Sh Rajinder Singh,IND,240,Dilshad Colony (G),312,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.03,0.92,
Sh Balmik Dewvadi,INLD,240,Dilshad Colony (G),266,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.78,
Mohd Arif,BSP,240,Dilshad Colony (G),264,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.78,
Sh. Braham Prakash,IND,240,Dilshad Colony (G),219,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.64,
Sh Daljeet Singh,IND,240,Dilshad Colony (G),173,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.51,
Sh. Bijender Kumar,IND,240,Dilshad Colony (G),138,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.41,
Sh. Shabbir,IND,240,Dilshad Colony (G),122,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.36,
Sh Anees Ahmad,IND,240,Dilshad Colony (G),98,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.29,
Sh Arun Kumar,LJP,240,Dilshad Colony (G),87,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.26,
Sh. Subhash Chand,IND,240,Dilshad Colony (G),73,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.21,
Ms Geeta Joshi,IND,240,Dilshad Colony (G),50,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.15,
Ms Saroja Swami,IND,240,Dilshad Colony (G),46,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.14,
Sh Chander Dev Manjhi,IND,240,Dilshad Colony (G),34,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.1,
Sh Sultan Ahmad,IND,240,Dilshad Colony (G),18,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.05,
Ajit Singh,INC,241,Dilshad Garden (G),6224,winner,,,,,,,,,,,,,,,,,,,,,,36276,14710,40.55,42.31,17.16,
Anil Gupta,BJP,241,Dilshad Garden (G),6212,Lost,,,,,,,,,,,,,,,,,,,,,,,,,42.23,17.12,
Rakesh Kumar Jain,BSP,241,Dilshad Garden (G),764,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.19,2.11,
Shatrujeet Singh,RSP,241,Dilshad Garden (G),458,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.11,1.26,
O P Bhardwaj,NCP,241,Dilshad Garden (G),453,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.08,1.25,
Dinesh Rana,JD(U),241,Dilshad Garden (G),188,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.52,
Phool Singh,IND,241,Dilshad Garden (G),164,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.11,0.45,
Manoj,IND,241,Dilshad Garden (G),97,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.27,
Siraj Sahil,IND,241,Dilshad Garden (G),93,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.26,
Mukesh Babu  Sasxena,IND,241,Dilshad Garden (G),39,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.11,
Narveer Dabas,IND,241,Dilshad Garden (G),18,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.05,
Shakuntla Devi,INC,242,New Seemapuri (W),3980,winner,Women,,,,,,,,,,,,,,,,,,,,,35765,16442,45.97,24.21,11.13,Harnidh
Raj Rani,BJP,242,New Seemapuri (W),3657,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,22.24,10.23,
Shama Parveen,IND,242,New Seemapuri (W),2939,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,17.87,8.22,
Sishila,BSP,242,New Seemapuri (W),2315,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,14.08,6.47,
Radha Devi,SP,242,New Seemapuri (W),1377,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,8.37,3.85,
Sumitra,IND,242,New Seemapuri (W),833,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.07,2.33,
Chaya Devi,IND,242,New Seemapuri (W),533,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.24,1.49,
Vimla Devi,NCP,242,New Seemapuri (W),281,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.71,0.79,
Jasima Khatoon,IND,242,New Seemapuri (W),196,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.55,
Lovely Madan,IND,242,New Seemapuri (W),180,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.5,
Rabia Begum,IND,242,New Seemapuri (W),151,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.42,
Manju,BSP,243,Nand Nagri (SCW),6943,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,33099,18137,54.8,38.28,20.98,
Usha Rani,BJP,243,Nand Nagri (SCW),5716,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,31.52,17.27,
Prem Lata,INC,243,Nand Nagri (SCW),4803,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,26.48,14.51,
Kiran,IND,243,Nand Nagri (SCW),675,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,3.72,2.04,
Santosh Kumar,IND,244,Sundar Nagri (SC),5139,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,32599,16197,,31.73,15.76,
Rajesh,BJP,244,Sundar Nagri (SC),3673,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,22.68,11.27,
Jai Prakash,INC,244,Sundar Nagri (SC),3305,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,20.41,10.14,
Pushpa,BSP,244,Sundar Nagri (SC),1882,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,11.62,5.77,
Arun Kumar,IND,244,Sundar Nagri (SC),1456,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,8.99,4.47,
Guddi,SS,244,Sundar Nagri (SC),453,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.39,
Manish Kansal,IND,244,Sundar Nagri (SC),109,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.33,
Anil Kumar,IND,244,Sundar Nagri (SC),99,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.3,
Jagdish Parasad,IND,244,Sundar Nagri (SC),81,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,
Anita Ujlain,BJP,245,Durga Puri (SCW),6992,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,37933,17685,46.62,39.54,18.43,
Ms. Ranjana Gautam,INC,245,Durga Puri (SCW),6441,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,36.42,16.98,
Ms. Babita,BSP,245,Durga Puri (SCW),3232,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,18.28,8.52,
Ms.  Kiran Bala,IND,245,Durga Puri (SCW),356,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,2.01,0.94,
Ms Jamna Devi,SP,245,Durga Puri (SCW),260,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.47,0.69,
Ms. Suman,INLD,245,Durga Puri (SCW),120,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.32,
Ms. Laxmi Devi,IND,245,Durga Puri (SCW),118,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.31,
Ms. Jyoti,IND,245,Durga Puri (SCW),93,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.25,
Ms. Kamlesh Kumari,IND,245,Durga Puri (SCW),73,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.19,
Sanjay Surjan,BJP,246,Ashok Nagar (G),4749,winner,,,,,,,,,,,,,,,,,,,,,,36563,17364,47.49,27.35,12.99,
Sh. Mangat Ram,IND,246,Ashok Nagar (G),3539,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.38,9.68,
Naresh Kumar Sharma,INC,246,Ashok Nagar (G),2937,Lost,,,,,,,,,,,,,,,,,,,,,,,,,16.91,8.03,
Sh. Janardhan,BSP,246,Ashok Nagar (G),2522,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.52,6.9,
Krishan Pal Singh Tomar,IND,246,Ashok Nagar (G),1677,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.66,4.59,
Sh. Tara Chand Pandey,RLD,246,Ashok Nagar (G),429,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.47,1.17,
Sh.Hari Bhushan Panchal,IND,246,Ashok Nagar (G),399,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.09,
Sarabjit Singh,IND,246,Ashok Nagar (G),298,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.82,
Shiv Kumar,SS,246,Ashok Nagar (G),225,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.62,
Anil Kumar,IND,246,Ashok Nagar (G),133,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.36,
Sujata,IND,246,Ashok Nagar (G),124,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.34,
Smt. Parul Suri,INLD,246,Ashok Nagar (G),112,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.31,
Sh. Satish Kumar,IND,246,Ashok Nagar (G),111,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.3,
