Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
NOTA,KONDLI,7-E,,130,,,,E,General,,,,,,,,,,,,,,,,,,
Suman Lata,ROHTASH NAGAR,38-E,BHARATIYA JANATA PARTY,14220,Winner,28434,52249,E,Women,43278926,0,Error -Fixed,47,married,nil,nil,yes,yes,yes,yes,0,0,37575122,business,business,14220,5th Pass
Asit Kumar,BURARI,7-N,AAM AADMI PARTY,8332,Lost,,,N,General,1091486,0,,,,,,,,,,,,,,,8332,Post Graduate
Aman Tyagi,BURARI,7-N,INDIAN NATIONAL CONGRESS,3302,Lost,,,N,General,36640599,187499,,,,,,,,,,,,,,,,10th Pass
SHYAM SINGH RAWAT,BURARI,7-N,INDEPENDENT,2816,Lost,,,N,General,,,,,,,,,,,,,,,,,,
NOTA,BURARI,7-N,,178,,,,N,General,,,,,,,,,,,,,,,,,,
Babloo,BURARI,7-N,SHIV SENA,84,Lost,,,N,General,1310000,0,,,,,,,,,,,,,,,,8th Pass
Pramood Kumar Mishra,BURARI,7-N,"NATIONALIST CONGRESS
PARTY",39,Lost,,,N,General,1123193,0,,,,,,,,,,,,,,,,Illiterate
TEJ PRATAP,BURARI,7-N,INDEPENDENT,708,Lost,,,N,General,,,,,,,,,,,,,,,,,,
NARENDER KUMAR,BURARI,7-N,BAHUJAN SAMAJ PARTY,455,Lost,,,N,General,,,,,,,,,,,,,,,,,,
Harvinder Singh Sandhu,VISHNU GARDEN,7-S,INDEPENDENT,41,Lost,,,S,General,72000,0,,,,,,,,,,,,,,,,Not Given
Nayeem,VISHNU GARDEN,7-S,INDEPENDENT,62,Lost,,,S,General,563517,0,,,,,,,,,,,,,,,,10th Pass
Livis Chandela,VISHNU GARDEN,7-S,INDEPENDENT,20,Lost,,,S,General,1164121,800000,,,,,,,,,,,,,,,,10th Pass
Sukhpal Singh,VISHNU GARDEN,7-S,AAM AADMI PARTY,7151,Lost,,,S,General,4745004,159000,,,,,,,,,,,,,,,7151,10th Pass
Paramjit Singh,VISHNU GARDEN,7-S,INDEPENDENT,137,Lost,,,S,General,9180000,0,,,,,,,,,,,,,,,,Others
Satya Pal Malik,ROSHANPURA,44-S,BHARATIYA JANATA PARTY,9333,Winner,28616,48701,S,General,16489794,487414,Correct,57,married,0,0,yes,yes,no,no,0,0,940000,agriculture,housewife,9333,Graduate Professional
A Dhanwati Chandela A,VISHNU GARDEN,7-S,INDIAN NATIONAL CONGRESS,6114,Lost,,,S,General,554413230,5298423,,,,,,,,,,,,,,,,10th Pass
NOTA,VISHNU GARDEN,7-S,,89,,,,S,General,,,,,,,,,,,,,,,,,,
Ansh Rohan Kumar,RAM PURA,70-N,INDEPENDENT,39,Lost,,,N,General,40600,156500,,,,,,,,,,,,,,,,8th Pass
Devanand Ram,RAM PURA,70-N,INDEPENDENT,63,Lost,,,N,General,239454,0,,,,,,,,,,,,,,,,8th Pass
Sunder Singh Khari,RAM PURA,70-N,INDEPENDENT,62,Lost,,,N,General,3462500,157500,,,,,,,,,,,,,,,,10th Pass
Sunder Lal Basoya,RAM PURA,70-N,BHARATIYA JANATA PARTY,8056,Lost,,,N,General,4972286,2601032,,,,,,,,,,,,,,,8056,Post Graduate
Rubi Gupta,RAM PURA,70-N,INDEPENDENT,49,Lost,,,N,General,9790286,0,,,,,,,,,,,,,,,,10th Pass
Ishwar Azad,RAM PURA,70-N,INDEPENDENT,823,Lost,,,N,General,10259599,0,,,,,,,,,,,,,,,,12th Pass
Dharmender Singh,RAM PURA,70-N,INDEPENDENT,200,Lost,,,N,General,26364329,4069074,,,,,,,,,,,,,,,,12th Pass
"HARI PRAKASH
BAHADUR",SABOLI,54-E,BHARATIYA JANATA PARTY,12574,Winner,27832,44828,E,SC,699357,0,Correct,42,married,3,0,yes,yes,no,no,0,0,277500,professional,housewife,12574,Others
Manoj Yadav,RAM PURA,70-N,INDIAN NATIONAL CONGRESS,3957,Lost,,,N,General,39693000,3000000,,,,,,,,,,,,,,,,12th Pass
NOTA,RAM PURA,70-N,,175,,,,N,General,,,,,,,,,,,,,,,,,,
Mamta Tiwari,CHHATARPUR,70-S,INDEPENDENT,108,Lost,,,S,Women,335225,0,,,,,,,,,,,,,,,,12th Pass
Shilpi Tanwar,CHHATARPUR,70-S,INDIAN NATIONAL CONGRESS,5658,Lost,,,S,Women,3258414,0,,,,,,,,,,,,,,,,12th Pass
Pinky Tyagi,CHHATARPUR,70-S,AAM AADMI PARTY,8413,Lost,,,S,Women,7274955,0,,,,,,,,,,,,,,,8413,
Sarita,CHHATARPUR,70-S,BAHUJAN SAMAJ PARTY,1011,Lost,,,S,Women,7702736,859244,,,,,,,,,,,,,,,,8th Pass
Anita Tyagi,CHHATARPUR,70-S,RASHTRIYA LOK DAL,2562,Lost,,,S,Women,8501768,0,,,,,,,,,,,,,,,,Graduate
Savita,CHHATARPUR,70-S,INDEPENDENT,158,Lost,,,S,Women,22466219,225000,,,,,,,,,,,,,,,,12th Pass
Jai Parkash,SADAR BAZAR,80-N,BHARATIYA JANATA PARTY,8583,Winner,22753,37314,N,General,53781294,800000,Correct,49,married,3,0,yes,yes,yes,yes,4,1,30199701,business,business,8583,Graduate
NOTA,CHHATARPUR,70-S,,130,,,,S,Women,,,,,,,,,,,,,,,,,,
Manvi Mittal,TRI NAGAR,71-N,INDEPENDENT,181,Lost,,,N,Women,133971,0,,,,,,,,,,,,,,,,12th Pass
Sarika Gupta,TRI NAGAR,71-N,INDIAN NATIONAL CONGRESS,5512,Lost,,,N,Women,772148,0,,,,,,,,,,,,,,,,8th Pass
Saroj Kaushik,TRI NAGAR,71-N,INDEPENDENT,81,Lost,,,N,Women,2019259,0,,,,,,,,,,,,,,,,Post Graduate
Neeta Bisht,SADATPUR,62-E,BHARATIYA JANATA PARTY,12110,Winner,24396,38817,E,Women,9142956,0,Correct,34,married,2,0,no,no,yes,yes,0,0,8640032,housewife,self-Employed,12110,10th Pass
MADHURI GOYAL,TRI NAGAR,71-N,AAM AADMI PARTY,8352,Lost,,,N,Women,,,,,,,,,,,,,,,,,8352,
NOTA,TRI NAGAR,71-N,,226,,,,N,Women,,,,,,,,,,,,,,,,,,
Inder Kaur,SADH NAGAR,53-S,BHARATIYA JANATA PARTY,11841,Winner,28596,51998,S,Women,7228500,0,Correct,39,married,2,0,no,no,yes,yes,0,0,2193500,housewife,business,11841,8th Pass
Surender Balhara,SAID-UL-AJAIB,71-S,AAM AADMI PARTY,6090,Lost,,,S,General,22922842,0,,,,,,,,,,,,,,,6090,12th Pass
Prem Deep Balhara,SAID-UL-AJAIB,71-S,INDIAN NATIONAL CONGRESS,5677,Lost,,,S,General,190003841,17671777,,,,,,,,,,,,,,,,Graduate
Maksood Ali,SAID-UL-AJAIB,71-S,BAHUJAN SAMAJ PARTY,3309,Lost,,,S,General,52969553,1176797,,,,,,,,,,,,,,,,12th Pass
Umed Singh,SAID-UL-AJAIB,71-S,INDIAN NATIONAL LOK DAL,2391,Lost,,,S,General,17685658,15867,,,,,,,,,,,,,,,,8th Pass
Pawan Shokeen,SAID-UL-AJAIB,71-S,INDEPENDENT,1053,Lost,,,S,General,1725844,109000,,,,,,,,,,,,,,,,12th Pass
Arun Kumar Jha,SAID-UL-AJAIB,71-S,INDEPENDENT,259,Lost,,,S,General,5620000,15000,,,,,,,,,,,,,,,,10th Pass
NOTA,SAID-UL-AJAIB,71-S,,152,,,,S,General,,,,,,,,,,,,,,,,,,
Yusaf Khan,SAID-UL-AJAIB,71-S,INDEPENDENT,112,Lost,,,S,General,203500,0,,,,,,,,,,,,,,,,10th Pass
Surjeet Kumar,SAID-UL-AJAIB,71-S,INDEPENDENT,108,Lost,,,S,General,6427000,0,,,,,,,,,,,,,,,,Graduate
Rajesh Kumar Singh,SAID-UL-AJAIB,71-S,JANATA DAL (UNITED),66,Lost,,,S,General,6907938,229204,,,,,,,,,,,,,,,,Graduate
Rohit Tewathia,SAID-UL-AJAIB,71-S,RASHTRIYA LOK DAL,44,Lost,,,S,General,10032640,1138600,,,,,,,,,,,,,,,,10th Pass
Surender Singh,SAID-UL-AJAIB,71-S,INDEPENDENT,19,Lost,,,S,General,418197,0,,,,,,,,,,,,,,,,8th Pass
ANUPAM KUMAR,SAID-UL-AJAIB,71-S,INDEPENDENT,330,Lost,,,S,General,,,,,,,,,,,,,,,,,,
Kalyani Devi,WAZIR PUR,72-N,INDEPENDENT,59,Lost,,,N,General,1350,0,,,,,,,,,,,,,,,,10th Pass
Sunny Singh,WAZIR PUR,72-N,INDEPENDENT,113,Lost,,,N,General,157651,0,,,,,,,,,,,,,,,,Post Graduate
Indarjeet Yadav,WAZIR PUR,72-N,JANATA DAL (UNITED),164,Lost,,,N,General,170000,0,,,,,,,,,,,,,,,,Not Given
Ajay Kumar Singh,WAZIR PUR,72-N,INDEPENDENT,143,Lost,,,N,General,345184,0,,,,,,,,,,,,,,,,8th Pass
Dalip Kumar,WAZIR PUR,72-N,BAHUJAN SAMAJ PARTY,1782,Lost,,,N,General,1559005,0,,,,,,,,,,,,,,,,10th Pass
Brij Mohan Garg,WAZIR PUR,72-N,INDEPENDENT,42,Lost,,,N,General,15192368,960000,,,,,,,,,,,,,,,,Graduate Professional
Suresh Bhardwaj,WAZIR PUR,72-N,BHARATIYA JANATA PARTY,8424,Lost,,,N,General,35772447,4178867,,,,,,,,,,,,,,,8424,8th Pass
Radhika Abrol,SAFDARJUNG ENCLAVE,61-S,BHARATIYA JANATA PARTY,11832,Winner,23292,54717,S,Women,19544211,820000,Correct,27,married,1,0,yes,yes,yes,yes,0,0,2918312,social worker,architect,11832,Post Graduate
Sudhir Kumar Jain,WAZIR PUR,72-N,INDIAN NATIONAL CONGRESS,2119,Lost,,,N,General,93746934,19332694,,,,,,,,,,,,,,,,Graduate
NOTA,WAZIR PUR,72-N,,192,,,,N,General,,,,,,,,,,,,,,,,,,
Poonam Jindal,SAGARPUR-EAST,32-S,BHARATIYA JANATA PARTY,10785,Winner,28505,49934,S,Women,8533339,830547,Correct,44,Married,3,0,Yes,Yes,Yes,Yes,0,0,,Professional(Anganwadi),Teacher,10785,Graduate
Kiran,BHATI,72-S,AAM AADMI PARTY,7946,Lost,,,S,Women,15017441,1244286,,,,,,,,,,,,,,,7946,5th Pass
Radhika Tanwar,BHATI,72-S,INDIAN NATIONAL CONGRESS,5458,Lost,,,S,Women,12295354,55240,,,,,,,,,,,,,,,,Graduate
Sunita,BHATI,72-S,INDEPENDENT,2404,Lost,,,S,Women,838624,0,,,,,,,,,,,,,,,,5th Pass
Pooja,BHATI,72-S,INDEPENDENT,130,Lost,,,S,Women,723726,0,,,,,,,,,,,,,,,,Graduate
Putli Devi,BHATI,72-S,RASHTRIYA LOK DAL,115,Lost,,,S,Women,3682509,0,,,,,,,,,,,,,,,,Illiterate
Aarti,BHATI,72-S,INDEPENDENT,66,Lost,,,S,Women,4000,0,,,,,,,,,,,,,,,,8th Pass
NOTA,BHATI,72-S,,181,Lost,,,S,Women,,,,,,,,,,,,,,,,,,
ANITA,BHATI,72-S,BAHUJAN SAMAJ PARTY,2655,Lost,,,S,Women,,,,,,,,,,,,,,,,,,
Saroj Gupta,SAWAN PARK,73-N,BAHUJAN SAMAJ PARTY,222,Lost,,,N,Women,836773,0,,,,,,,,,,,,,,,,Illiterate
Laltesh Kumari,SAWAN PARK,73-N,INDEPENDENT,82,Lost,,,N,Women,1729000,250000,,,,,,,,,,,,,,,,Graduate
Kuldeep Kaur,SAWAN PARK,73-N,INDIAN NATIONAL CONGRESS,3938,Lost,,,N,Women,2269260,0,,,,,,,,,,,,,,,,Post Graduate
Reema Seth,SAWAN PARK,73-N,AAM AADMI PARTY,5197,Lost,,,N,Women,3348921,273888,,,,,,,,,,,,,,,5197,12th Pass
Sangeeta Makhija,SAWAN PARK,73-N,INDEPENDENT,113,Lost,,,N,Women,20444640,0,,,,,,,,,,,,,,,,Graduate
Seema Mishra,SAWAN PARK,73-N,INDEPENDENT,120,Lost,,,N,Women,37671251,62000,,,,,,,,,,,,,,,,Graduate
MUKESH SURYAN ,SAGARPUR-WEST,31-S,BHARATIYA JANATA PARTY,8701,Winner,26650,48114,S,General,41450874,9124235,Correct,40,Married,0,0,Yes,Yes,Yes,Yes,0,0,,Business,Self-Employed,8701,Graduate
Prem Lata Goyal,SAWAN PARK,73-N,INDEPENDENT,2691,Lost,,,N,Women,47981690,0,,,,,,,,,,,,,,,,8th Pass
NOTA,SAWAN PARK,73-N,,215,,,,N,Women,,,,,,,,,,,,,,,,,,
Pradeep Lohia,AYA NAGAR,73-S,BAHUJAN SAMAJ PARTY,358,Lost,,,S,General,335000,0,,,,,,,,,,,,,,,,12th Pass
Renu Bala,AYA NAGAR,73-S,"COMMUNIST PARTY OF
INDIA",90,Lost,,,S,General,342500,8012,,,,,,,,,,,,,,,,8th Pass
Sunder Bhati,AYA NAGAR,73-S,INDEPENDENT,272,Lost,,,S,General,886521,0,,,,,,,,,,,,,,,,12th Pass
Rajesh Kumar Tiwari,AYA NAGAR,73-S,INDEPENDENT,42,Lost,,,S,General,1500000,0,,,,,,,,,,,,,,,,Post Graduate
Sikander Kumar,AYA NAGAR,73-S,INDEPENDENT,48,Lost,,,S,General,2656000,0,,,,,,,,,,,,,,,,Graduate
Mahanand Baghel,AYA NAGAR,73-S,INDEPENDENT,113,Lost,,,S,General,5051697,0,,,,,,,,,,,,,,,,Graduate
Madan Singh Negi,AYA NAGAR,73-S,INDEPENDENT,527,Lost,,,S,General,6087288,0,,,,,,,,,,,,,,,,Graduate
Jai Prakash Lohia,AYA NAGAR,73-S,INDEPENDENT,1693,Lost,,,S,General,9400000,839000,,,,,,,,,,,,,,,,Graduate
Naresh,AYA NAGAR,73-S,AAM AADMI PARTY,4220,Lost,,,S,General,9748170,1542757,,,,,,,,,,,,,,,,12th Pass
Tribhuwan Kumar,AYA NAGAR,73-S,JANATA DAL (UNITED),520,Lost,,,S,General,10875754,810000,,,,,,,,,,,,,,,,Graduate
Mahipal,AYA NAGAR,73-S,INDEPENDENT,1886,Lost,,,S,General,17757356,2500000,,,,,,,,,,,,,,,,12th Pass
Jagdish Singh Lohia,AYA NAGAR,73-S,BHARATIYA JANATA PARTY,6671,Lost,,,S,General,19029480,0,,,,,,,,,,,,,,,6671,Graduate Professional
Sanjay Thakur,SAID-UL-AJAIB,71-S,BHARATIYA JANATA PARTY,6541,Winner,26400,49407,S,General,23839625,0,Correct,45,married,2,0,yes,yes,yes,yes,0,0,1636527,business,business,6541,12th Pass
NOTA,AYA NAGAR,73-S,,102,,,,S,General,,,,,,,,,,,,,,,,,,
Reeta,SAINIK ENCLAVE,22-S,BHARATIYA JANATA PARTY,12389,Winner,31092,61907,S,Women,2834578,0,Correct,46,Married,2,0,No,No,yes,Yes,0,0,,Social Worker,Business,12389,10th Pass
Mamta Dhika,NIMRI COLONY,74-N,BHARATIYA JANATA PARTY,6210,Lost,,,N,SCW,536946,0,,,,,,,,,,,,,,,6210,Graduate
Chitra,NIMRI COLONY,74-N,INDEPENDENT,4254,Lost,,,N,SCW,17872280,2572757,,,,,,,,,,,,,,,,Post Graduate
Balvinder Kaur,NIMRI COLONY,74-N,BAHUJAN SAMAJ PARTY,713,Lost,,,N,SCW,800974,0,,,,,,,,,,,,,,,,10th Pass
NOTA,NIMRI COLONY,74-N,,160,,,,N,SCW,,,,,,,,,,,,,,,,,,
Vandana,NIMRI COLONY,74-N,INDEPENDENT,151,Lost,,,N,SCW,389750,32140,,,,,,,,,,,,,,,,10th Pass
Savita,NIMRI COLONY,74-N,"COMMUNIST PARTY OF INDIA
(MARXIST)",130,Lost,,,N,SCW,2526500,0,,,,,,,,,,,,,,,,8th Pass
SONIA,NIMRI COLONY,74-N,INDIAN NATIONAL CONGRESS,5439,Lost,,,N,SCW,,,,,,,,,,,,,,,,,,
Deepak,DAKSHIN PURI,74-S,INDEPENDENT,45,Lost,,,S,SC,2000,0,,,,,,,,,,,,,,,,12th Pass
Vikas Bal,DAKSHIN PURI,74-S,INDEPENDENT,33,Lost,,,S,SC,11000,0,,,,,,,,,,,,,,,,12th Pass
Mahesh Malawliya,DAKSHIN PURI,74-S,INDEPENDENT,105,Lost,,,S,SC,20000,0,,,,,,,,,,,,,,,,12th Pass
Sahil Garwa,DAKSHIN PURI,74-S,INDEPENDENT,28,Lost,,,S,SC,36603,0,,,,,,,,,,,,,,,,Graduate
Suraj,DAKSHIN PURI,74-S,INDEPENDENT,203,Lost,,,S,SC,185070,36500,,,,,,,,,,,,,,,,Graduate
Kishori Lal Azad,DAKSHIN PURI,74-S,BAHUJAN SAMAJ PARTY,212,Lost,,,S,SC,253990,0,,,,,,,,,,,,,,,,12th Pass
Vivek Kalosia,DAKSHIN PURI,74-S,BHARATIYA JANATA PARTY,8626,Lost,,,S,SC,254038,0,,,,,,,,,,,,,,,8626,Graduate
Sanjay Chauhan,DAKSHIN PURI,74-S,SHIV SENA,225,Lost,,,S,SC,299302,0,,,,,,,,,,,,,,,,10th Pass
Guljar Singh,DAKSHIN PURI,74-S,"JAMMU & KASHMIR NATIONAL PANTHERS
PARTY",199,Lost,,,S,SC,450000,0,,,,,,,,,,,,,,,,Graduate
Pradeep Kumar,DAKSHIN PURI,74-S,"COMMUNIST PARTY OF
INDIA",167,Lost,,,S,SC,923400,0,,,,,,,,,,,,,,,,Graduate
Satya Bhan Singh,DAKSHIN PURI,74-S,JANATA DAL (UNITED),153,Lost,,,S,SC,2914000,0,,,,,,,,,,,,,,,,Illiterate
Surender Kumar,DAKSHIN PURI,74-S,INDEPENDENT,175,Lost,,,S,SC,3656302,0,,,,,,,,,,,,,,,,12th Pass
Ram Roop Diwakar,DAKSHIN PURI,74-S,"LOK JAN
SHAKTI PARTY",148,Lost,,,S,SC,6091797,6320,,,,,,,,,,,,,,,,Graduate
Pramod Kumar,DAKSHIN PURI,74-S,INDIAN NATIONAL CONGRESS,3750,Lost,,,S,SC,9486927,0,,,,,,,,,,,,,,,,Graduate
Neesha Yadav,SAMAYPUR BADLI,23-N,INDIAN NATIONAL CONGRESS,10217,Winner,25854,48107,N,Women,8844110,686000,Correct,30,married,0,0,yes,yes,yes,yes,,,2878320,self-employed,self-employed,10217,Post Graduate
NOTA,DAKSHIN PURI,74-S,,145,,,,S,SC,,,,,,,,,,,,,,,,,,
Rinku,SANGAM PARK,76-N,AAM AADMI PARTY,11278,Winner,27664,55358,N,SC,3529100,0,Error -Fixed,31,married,2,0,yes,yes,no,no,0,0,330342,business,housewife,11278,10th Pass
"HARINDER PAL
SINGH",ASHOK VIHAR,75-N,AAM AADMI PARTY,6094,Lost,,,N,General,102915100,4152529,,,,,,,,,,,,,,,6094,10th Pass
Ashok Basoya,ASHOK VIHAR,75-N,INDIAN NATIONAL CONGRESS,4365,Lost,,,N,General,6663028,0,,,,,,,,,,,,,,,,Post Graduate
NOTA,ASHOK VIHAR,75-N,,193,,,,N,General,,,,,,,,,,,,,,,,,,
"VANDANA
DEVI",ASHOK VIHAR,75-N,INDEPENDENT,135,Lost,,,N,General,3793258,0,,,,,,,,,,,,,,,,10th Pass
"SANDEEP
MEHTA",ASHOK VIHAR,75-N,INDEPENDENT,55,Lost,,,N,General,670912,0,,,,,,,,,,,,,,,,12th Pass
"SANDEEP
SINGH",ASHOK VIHAR,75-N,INDEPENDENT,31,Lost,,,N,General,11318231,2181943,,,,,,,,,,,,,,,,10th Pass
Vandana,TIGRI,75-S,"RASHTRIYA
LOK DAL",350,Lost,,,S,SCW,37000,0,,,,,,,,,,,,,,,,5th Pass
Pushpa,TIGRI,75-S,BAHUJAN SAMAJ PARTY,262,Lost,,,S,SCW,59068,0,,,,,,,,,,,,,,,,8th Pass
Rekha Rani,TIGRI,75-S,INDIAN NATIONAL LOK DAL,185,Lost,,,S,SCW,189500,0,,,,,,,,,,,,,,,,Graduate Professional
Rinki,TIGRI,75-S,INDIAN NATIONAL CONGRESS,3613,Lost,,,S,SCW,912498,0,,,,,,,,,,,,,,,,12th Pass
Sarita,TIGRI,75-S,INDEPENDENT,1417,Lost,,,S,SCW,1262513,0,,,,,,,,,,,,,,,,Illiterate
Geeta Devi,TIGRI,75-S,INDEPENDENT,296,Lost,,,S,SCW,1548500,0,,,,,,,,,,,,,,,,12th Pass
Renu,TIGRI,75-S,INDEPENDENT,80,Lost,,,S,SCW,1849493,170000,,,,,,,,,,,,,,,,Graduate
Babita,TIGRI,75-S,INDEPENDENT,641,Lost,,,S,SCW,2677496,0,,,,,,,,,,,,,,,,5th Pass
Meera,TIGRI,75-S,BHARATIYA JANATA PARTY,5458,Lost,,,S,SCW,3908725,895625,,,,,,,,,,,,,,,5458,Others
Arti,TIGRI,75-S,INDEPENDENT,72,Lost,,,S,SCW,6550000,0,,,,,,,,,,,,,,,,Illiterate
Suresh Choudhary,SANGAM VIHAR-A,77-S,INDEPENDENT,5007,Winner,20123,34034,S,General,27593670,6115038,Correct,42,married,2,0,yes,yes,yes,yes,0,0,11226256,business,business,5007,12th Pass
NOTA,TIGRI,75-S,,161,,,,S,SCW,,,,,,,,,,,,,,,,,,
Tara Chand,SANGAM PARK,76-N,INDEPENDENT,228,Lost,,,N,SC,1200,0,,,,,,,,,,,,,Student,,,Graduate
"PARMOD
KUMAR SAHANI",SANGAM PARK,76-N,INDEPENDENT,128,Lost,,,N,SC,44022,0,,,,,,,,,,,,,,,,Post Graduate
Deep Sharan,SANGAM PARK,76-N,INDEPENDENT,308,Lost,,,N,SC,853075,0,,,,,,,,,,,,,,,,12th Pass
Hari Shankar,SANGAM PARK,76-N,BHARATIYA JANATA PARTY,8996,Lost,,,N,SC,2207568,0,,,,,,,,,,,,,,,8996,8th Pass
Budh Sagar,SANGAM PARK,76-N,INDEPENDENT,965,Lost,,,N,SC,2384793,0,,,,,,,,,,,,,,,,12th Pass
Lakhender,SANGAM PARK,76-N,INDEPENDENT,259,Lost,,,N,SC,3060459,44520,,,,,,,,,,,,,,,,8th Pass
Sudama Paswan,SANGAM PARK,76-N,INDIAN NATIONAL CONGRESS,4190,Lost,,,N,SC,4418073,211328,,,,,,,,,,,,,,,,5th Pass
Jitender Kumar,SANGAM PARK,76-N,BAHUJAN SAMAJ PARTY,1052,Lost,,,N,SC,4967424,0,,,,,,,,,,,,,,,,12th Pass
Maya Singh,SANGAM VIHAR-B,78-S,BHARATIYA JANATA PARTY,5850,Winner,19650,34858,S,Women,970121,300000,Correct,40,married,1,0,yes,yes,no,no,0,,97931,social worker,service,5850,Graduate
NOTA,SANGAM PARK,76-N,,260,,,,N,SC,,,,,,,,,,,,,,,,,,
Swati,DEOLI,76-S,SHIV SENA,179,Lost,,,S,Women,399651,0,,,,,,,,,,,,,,,,Graduate
Suman Dubey,DEOLI,76-S,INDEPENDENT,449,Lost,,,S,Women,3072400,0,,,,,,,,,,,,,,,,5th Pass
Leela Wati,DEOLI,76-S,BAHUJAN SAMAJ PARTY,755,Lost,,,S,Women,6460264,0,,,,,,,,,,,,,,,,Literate
Renu,DEOLI,76-S,AAM AADMI PARTY,7946,Lost,,,S,Women,16744054,255284,,,,,,,,,,,,,,,7946,Graduate
Kamlesh Gupta,DEOLI,76-S,INDIAN NATIONAL CONGRESS,3274,Lost,,,S,Women,17851000,418000,,,,,,,,,,,,,,,,10th Pass
Jitendra Kumar,SANGAM VIHAR-C,83-S,AAM AADMI PARTY,11431,Winner,21938,40214,S,General,81500,25000,Correct,23,single,,,yes,no,na,na,2,0,,social worker,na,11431,Graduate Professional
NOTA,DEOLI,76-S,,181,,,,S,Women,,,,,,,,,,,,,,,,,,
Sonam,MODEL TOWN,77-N,INDEPENDENT,113,Lost,,,N,Women,60000,0,,,,,,,,,,,,,,,,Post Graduate
Ranjana,MODEL TOWN,77-N,INDEPENDENT,22,Lost,,,N,Women,190867,0,,,,,,,,,,,,,,,,Graduate
Kiran Bala,MODEL TOWN,77-N,INDEPENDENT,157,Lost,,,N,Women,195000,0,,,,,,,,,,,,,,,,5th Pass
Hema Sharma,MODEL TOWN,77-N,BAHUJAN SAMAJ PARTY,120,Lost,,,N,Women,325000,0,,,,,,,,,,,,,,,,8th Pass
Swati Sachdeva,MODEL TOWN,77-N,AAM AADMI PARTY,7104,Lost,,,N,Women,1573985,483256,,,,,,,,,,,,,,,7104,Graduate
Urmila Yadav,SANGAM VIHAR-D,84-S,AAM AADMI PARTY,8299,Winner,28414,50232,S,Women,23947300,0,Correct,48,married,2,0,no,no,yes,yes,0,0,9214800,housewife,service,8299,8th Pass
Akanksha Ola,MODEL TOWN,77-N,INDIAN NATIONAL CONGRESS,6077,Lost,,,N,Women,160167102,49261153,,,,,,,,,,,,,,,,Graduate
NOTA,MODEL TOWN,77-N,,308,,,,N,Women,,,,,,,,,,,,,,,,,,
Sachin Choudhary,SANGAM VIHAR-A,77-S,INDEPENDENT,45,Lost,,,S,General,78645,0,,,,,,,,,,,,,,,,12th Pass
Jai Narayan,SANGAM VIHAR-A,77-S,INDEPENDENT,51,Lost,,,S,General,175914,0,,,,,,,,,,,,,,,,10th Pass
Ranjeet Kumar Singh,SANGAM VIHAR-A,77-S,INDEPENDENT,21,Lost,,,S,General,275465,0,,,,,,,,,,,,,,,,12th Pass
Vinod Yadav,SANGAM VIHAR-A,77-S,"SAMAJWADI
PARTY",215,Lost,,,S,General,1088580,0,,,,,,,,,,,,,,,,Post Graduate
Komal,SANGAM VIHAR-A,77-S,INDEPENDENT,31,Lost,,,S,General,7683274,780012,,,,,,,,,,,,,,,,Illiterate
Rajesh,SANGAM VIHAR-A,77-S,INDIAN NATIONAL LOK DAL,3511,Lost,,,S,General,7684274,780012,,,,,,,,,,,,,,,,8th Pass
Yogender KR Ujjwal,SANGAM VIHAR-A,77-S,BAHUJAN SAMAJ PARTY,1857,Lost,,,S,General,13016817,0,,,,,,,,,,,,,,,,12th Pass
Govind Kumar,SANGAM VIHAR-A,77-S,AAM AADMI PARTY,3425,Lost,,,S,General,17933055,687470,,,,,,,,,,,,,,,,Graduate
Satya Prakash,SANGAM VIHAR-A,77-S,RASHTRIYA LOK DAL,252,Lost,,,S,General,20614184,0,,,,,,,,,,,,,,,,10th Pass
Deepak Jain,SANGAM VIHAR-E,85-S,BHARATIYA JANATA PARTY,8584,Winner,23574,41745,S,General,9848610,6138000,Correct,,married,0,0,yes,yes,yes,yes,0,0,806079,business,housewife,8584,10th Pass
Chandan Kumar,SANGAM VIHAR-A,77-S,BHARATIYA JANATA PARTY,4488,Lost,,,S,General,38085554,0,,,,,,,,,,,,,,,4488,12th Pass
Virender Sharma,SANGAM VIHAR-A,77-S,INDIAN NATIONAL CONGRESS,881,Lost,,,S,General,39620310,0,,,,,,,,,,,,,,,,12th Pass
NOTA,SANGAM VIHAR-A,77-S,,95,,,,S,General,,,,,,,,,,,,,,,,,,
Kalpana Jha,SANT NAGAR,10-N,BHARATIYA JANATA PARTY,10211,Winner,31136,57287,N,Women,7311629,81456,Correct,46,Married,0,0,yes,no,yes,yes,0,0,1137007,housewife,professional,10211,10th Pass
Natthu Ram Nagar,KAMLA NAGAR,78-N,INDIAN NATIONAL CONGRESS,6940,Lost,,,N,General,26378143,0,,,,,,,,,,,,,,,6940,8th Pass
Mohan Lal,KAMLA NAGAR,78-N,AAM AADMI PARTY,4967,Lost,,,N,General,4690195,620000,,,,,,,,,,,,,,,,Post Graduate
